Paragraph,Labels
"This constant of proportionality is known as Universal Gravitation Constant. With careful experiments, the value of gravitational constant was found to be 6.67 x   N. This experiment was performed by Henry Cavendish. Also, the value of ‘G’ remains constant throughout the universe. Now the one question to be answered here, is how Newton was able to predict that the force is inversely proportional to square of the distance? For this, he utilized Kepler’s law according to which square of time period is directly proportional to cube times the distance between the center and the orbiting body. So we know since the body is in circular motion so, F∝v2r……………………….(1) Also we can say, T=2πrv⇒v=2πrT Now, putting the value of v in equation (1) we get, F∝rT2……………………….(2) Now from Kepler’s Law, T2∝r3. Hence, putting the value of T2 in equation(2), we get, F∝1r2","Property, Formula"
"Now the question is if gravitation exists between any two masses then why we are attracted towards the earth but not towards each other. To realize this let’s take an example let there be two bodies A (60 kg) and B (80 kg) at a distance of 1m from one another. So the gravitational pull between the two bodies is: F=Gm1m2r2⇒F=6.67×10−11×60×8012N⇒F=3.2×10−7N………………….(3) Now consider the force between body A and the earth. Mass = 6×1024 Kg. Radius of earth = 6.3×106 m. F=6.67×10−11×60×6×1024(6.3×106)2N⇒F=577.4N. By looking at (3) and (4), we can say that even though every bit of mass in the universe attracts every other bit, we don’t feel it because, under normal heights, the attraction is far too low to be felt. The Earth, on the other hand, is massive and hence exerts a non-zero force on us. The larger the planet, larger is its force of gravity.",Property
"Thus the Universal Law of Gravitation can be stated as: “Every object in the universe attracts every other object with a force directed along the line of centers for the two objects that is proportional to the product of their masses and inversely proportional to the square of the separation between the two objects”.
",Definition
"Universal Law Of Gravitation. According to Newton’s Universal Law of Gravitation, the force exerted between two objects, by each other is given by the following relation. Fg∝m1.m2r2. Where, g: gravitational force between two bodies, m1: mass of one object, m2: mass of the second object, r: distance between the centers of two objects","Definition, Formula"
"Gravitational Constant. The actual force exerted between two bodies can be given by the following equation. Fg = Gm1.m2r2. Where, G is the universal gravitational constant with a value of; G=6.674×10−11N⋅(m/kg2 G here is an empirical constant of proportionality.",Property
"Inter molecular Force. In a solid, atoms and molecules are arranged in such a way that each molecule is acted upon by the forces due to the neighbouring molecules. These forces are known as inter molecular forces.",Definition
"Elasticity. The property of the body to regain its original configuration (length, volume or shape) when the deforming forces are removed, is called elasticity. The change in the shape or size of a body when external forces act on it is determined by the forces between its atoms or molecules. These short range atomic forces are called elastic forces.",Definition
"Perfectly elastic body. A body which regains its original configuration immediately and completely after the removal of deforming force from it, is called perfectly elastic body. Quartz and phospher bronze are the examples of nearly perfectly elastic bodies.",Definition
Plasticity. The inability of a body to return to its original size and shape even on removal of the deforming force is called plasticity and such a body is called a plastic body.,Definition
"Stress. Stress is defined as the ratio of the internal force F, produced when the substance is deformed, to the area A over which this force acts. In equilibrium, this force is equal in magnitude to the externally applied force. In other words,
",Definition
"Stress is of two types: (i) Normal stress: It is defined as the restoring force per unit area perpendicular to the surface of the body. Normal stress is of two types: tensile stress and compressive stress. (ii) Tangential stress: When the elastic restoring force or deforming force acts parallel to the surface area, the stress is called tangential stress.","Definition, Types"
"Strain. It is defined as the ratio of the change in size or shape to the original size or shape. It has no dimensions, it is just a number.",Definition
"Strain is of three types: (i) Longitudinal strain: If the deforming force produces a change in length alone, the strain produced in the body is called longitudinal strain or tensile strain. It is given as:","Definition, Types"
"Volumetric strain: If the deforming force produces a change in volume alone, the strain produced in the body is called volumetric strain. It is given as:","Definition, Types"
Shear strain: The angle tilt caused in the body due to tangential stress expressed is called shear strain. It is given as. The maximum stress to which the body can regain its original status on the removal of the deforming force is called elastic limit.,"Definition, Types"
"Hooke’s Law. Hooke’s law states that, within elastic limits, the ratio of stress to the corresponding strain produced is a constant. This constant is called the modulus of elasticity.","Definition, Types"
