Paragraph,Labels,Grade
"For instance, if you look at the flame of a candle with a straight pipe we can easily view the candle. However, if we bend the pipe we cannot view the candle and the light coming through it because it is blocked.","Example, Reasoning",Grade_7_Physics_Data
"Reflection of Light
Whenever light hits an object it is either absorbed or reflected back.",Definition,Grade_7_Physics_Data
"Reflection of light can be defined as the phenomenon of an object throws back the light that falls on it. Hence, the reflection of light changes its path","Definition, Property",Grade_7_Physics_Data
A mirror is generally any shiny surface that can reflect back light.,Definition,Grade_7_Physics_Data
A mirror that has a plane surface is called a Plane Mirror.,Definition,Grade_7_Physics_Data
"A mirror that is curved, it either bulges in or out, is called a Curved Mirror.",Definition,Grade_7_Physics_Data
"As a mirror reflects light, an image of the object that is in front of the mirror is formed on it.
",Property,Grade_7_Physics_Data
The image of an object can be defined as the impression of the object created by the light on the mirror.,Definition,Grade_7_Physics_Data
"The distance between the image and the mirror, and the object and the mirror always remain the same.",Property,Grade_7_Physics_Data
"If we increase or decrease the distance between the object and the mirror, the distance between the image and the mirror also increases or decreases, respectively.",Property,Grade_7_Physics_Data
"However, the size of the image formed on the mirror can vary with respect to the distance between the object and the mirror.",Property,Grade_7_Physics_Data
"If the distance between the object and the mirror increases, the size of the image decreases and vice-versa.",Property,Grade_7_Physics_Data
An image is said to be erect if the image is formed the same side up as that of the object.,Definition,Grade_7_Physics_Data
The image will be called Inverted if it is formed upside-down compared to the object.,Definition,Grade_7_Physics_Data
"The image formed by the mirror is always left-right inverted. This means that the right side of the object appears as the left side of the image, and the left side of the object appears at the right side of the image.","Property, Reasoning",Grade_7_Physics_Data
"Why the word ‘AMBULANCE’ is painted on an ambulance left-right inverted?
This is because of the left-right inversion of the image on a mirror. The word ambulance written as left-right inverted would, therefore, be read easily by the driver of the vehicle ahead of the ambulance in its rearview mirror. The rear view mirror will again invert the word left-right wise.","Reasoning, Property",Grade_7_Physics_Data
Incident Ray - The light ray that falls on the reflecting surface is called an Incident Ray.,Definition,Grade_7_Physics_Data
Reflected Ray –Tthe light ray that gets reflected back from a reflecting surface is called a Reflected Ray.,Definition,Grade_7_Physics_Data
Normal - It is a line that is perpendicular to the reflected plane at the point of incidence of Incident Ray.,Definition,Grade_7_Physics_Data
"Diffused Reflection or Irregular Reflection: In this type of reflection, the light rays that fall on the surface are reflected back in different directions irregularly. This generally happens in the case of an irregular or roughly surfaced object.",Definition,Grade_7_Physics_Data
"Regular Reflection: In this type of reflection, the light rays that fall on the surface of the reflecting object reflect back in a particular direction. The reflected rays are always parallel to each other. This generally happens in case of a smooth and shiny surface.",Definition,Grade_7_Physics_Data
"Spherical mirror, as the name suggests, has a sphere-like shape. It appears as if it is a part of a sphere. There are two types of spherical mirrors:

Concave Mirror - It is a spherical mirror whose reflecting surface is curved inwards.

Convex Mirror - It is a spherical mirror whose reflecting surface is curved outwards.","Definition, Types",Grade_7_Physics_Data
"The image formed by a concave mirror has the following properties:

It can either be real or virtual.

It can either be inverted or erect.

It can have the same size as that of the object, a larger size that of the object or smaller size than that of the object.",Property,Grade_7_Physics_Data
"The image formed by a convex mirror has the following properties:

It is always virtual.

It is always upright (erect).

It is smaller in size as that of the object",Property,Grade_7_Physics_Data
"Applications of Concave Mirrors:

Satellite dishes use a concave mirror to gather all the signals and reflect them on a certain point.

Dentists use a concave mirror to reflect light on a particular tooth.

Shaving Mirrors are concave in shape.

Headlights of a car have a concave mirror so that we can reflect back light straight on the path.

Torches also use concave Mirrors.

","Property, Examples",Grade_7_Physics_Data
"Applications of Convex Mirrors
The rear view mirrors are convex mirrors as they provide a wider view of the road behind.

Security mirrors near an ATM are convex so that the user can detect easily if anyone else is watching from behind or not.","Property, Examples",Grade_7_Physics_Data
A lens is a part of a reflecting material like glass or plastic but curved from both sides. Lenses are unlike mirrors that have a reflecting surface only on one side.,Definition,Grade_7_Physics_Data
"Convex Lens - A Convex Lens is curved outwards. It is thicker in the centre and narrows down at the edges. It merges the light rays passing through it at a certain point. Therefore, it is also called a Converging Lens.",Definition,Grade_7_Physics_Data
"Concave Lens - A Concave Lens is curved inwards. It has wider edges and a thinner centre. It reflects back the light that travels through it in different directions. Therefore, it is also called a Diverging Lens.

",Definition,Grade_7_Physics_Data
"A Convex lens forms an image that is:

real

inverted

the image is large and appears close to the lens

",Property,Grade_7_Physics_Data
"A Concave lens forms an image that is:

virtual

erect

small and appears far away

",Property,Grade_7_Physics_Data
"A rainbow is a natural phenomenon in which the light rays of the sun are reflected and refracted by the water droplets present in the atmosphere.

A rainbow appears as an arc on the sky that contains a band of seven colours – Red, orange, yellow, green, blue, indigo and violet.","Definition, Property",Grade_7_Physics_Data
"This spectrum of white light can be seen in the following:

Rainbows

Soap bubbles

Surface of a CD

Prisms

","Example, Reasoning",Grade_7_Physics_Data
"The Newton’s disc can be obtained by dividing a disk into 7 partitions and painting each of them with the seven colours of the rainbow.

When the disc is rotated at a fast pace in daylight all the colours tend to mix together and the disc appears whitish in colour.",Definition,Grade_7_Physics_Data
"Motion

Motion is a change in position of an object with respect to time.If the position of a body is not changing with respect to time, the body is said to be at rest, motionless, immobile or stationary.Any moving body is said to be in motion.Some types of motions are show below:","Definition, Property",Grade_7_Physics_Data
"Motion is based on Frame of Reference.When a person standing outside the bus is considered as a reference, the bus is in motion. When a person sitting inside the bus is considered as a reference, the bus appears to be stationary.","Property, Reasoning",Grade_7_Physics_Data
"Oscillatory Motion:

An oscillatory motion is a motion where a body moves between two extreme positions.
The center of these extreme positions is called mean position.
Time taken to complete one oscillation is called Time Period.
When an oscillatory motion repeats itself in equal intervals of time it is called Periodic Motion.
All periodic motions could not be oscillatory, but all oscillatory motions are periodic in nature.","Definition, Property",Grade_7_Physics_Data
"Examples of oscillatory motion pendulum, swings, object attached to a spring, etc.

",Examples,Grade_7_Physics_Data
"Examples of periodic motion pendulum, revolution of earth on its axis, rotation of earth around sun etc.

",Examples,Grade_7_Physics_Data
Uniform and Non-Uniform Motion:An object having uniform motion travels equal distances in equal intervals of time and An object having non-uniform motion travels unequal distances in equal intervals of time.,Property,Grade_7_Physics_Data
"Speed

Speed is the rate of change of position of an object with time.The average speed of an object in an interval of time is the distance travelled by the object divided by the duration of the interval. Hence,

Speed = Total distance covered/ total time taken","Definition, Formula, Relation",Grade_7_Physics_Data
"Unit of Distance is meter or Kilometer and that of time is second or hour. Common units of speed are therefore metre/second or m/s or Kilometer/Hour or km/h.Units are always written in singular, that is, km/h and not kms/hrs.",Property,Grade_7_Physics_Data
"Fast and Slow Motion/Speed:Speed can be fast or slow depending upon the distance covered by them in a given interval of time. Since a motorbike covers more distance in a given interval of time than a bicycle, the bicycle is said to be in slower motion and motorbike in faster motion.",Reasoning,Grade_7_Physics_Data
"Graphs

A graph is a picture or diagram that shows relation between two or more variable quantities.
A simple graph usually shows the connection between two numbers or measurements in the form of a grid.
A graph or a chart can be of different types based on number of quantities and representation method.","Definition, Types, Property",Grade_7_Physics_Data
"Distance-Time Graph

This is usually drawn as a line graph as it taken two variable quantities – Distance and Time. In a Distance-Time graph, Distance is considered on the Y-axis (Vertical) and Time is considered on the X-axis (Horizontal).

Below is an example of how to prepare a Distance-Time graph based on data",Property,Grade_7_Physics_Data
"Some of the points to be kept in mind while choosing the most suitable scale for drawing a graph are:

Determine the maximum quantity to be taken on each axis.
Divide this maximum quantity in smaller equal parts, so that it is easy to mark the points. The number of equal parts to be taken depends upon the data available. For eg, in the above diagram, distance quantity is 10 whereas time quantity is 20.
Try to draw the graph so that it covers maximum paper space which will make it look clean.",Property,Grade_7_Physics_Data
Slope Calculation using D-T Graph:Slope of a Distance-Time graph (From point A to F) is also the speed at every instant. Higher the slope greater is the speed of that object.,"Definition, Property",Grade_7_Physics_Data
"Speedometer: Measures and displays instantaneous speed of the vehicle.

",Definition,Grade_7_Physics_Data
"Odometer: Measures and displays distance travelled by the vehicle.

",Definition,Grade_7_Physics_Data
"Tachometer: Measures and displays the revolutions per minute or the rotation speed of a shaft or disk.

",Definition,Grade_7_Physics_Data
"Light is a form of energy which is responsible for the sense of sight.It enables to see things around us.

Natural sources of light are Sun, fire etc.
Man-made sources of light are tube lights, bulbs etc.","Definition, Examples",Grade_7_Physics_Data
"Light is made up of packets of energy called photons which travel in a straight line at a very fast speed. Light can move through small apertures and holes and can change direction, but will always travel in straight lines.",Property,Grade_7_Physics_Data
"Light, sound, water, electromagnetic waves may change their direction upon striking a surface. This is called reflection.

Light waves get reflected while other waves may penetrate the surface.
Light gets reflected easily by shiny surfaces like stainless steel plate, water, mirror etc.
Polished and shiny surfaces act as a mirror due to light reflection capabilities.","Definition, Property",Grade_7_Physics_Data
Light falling on a plane mirror at an angle (Angle of incidence) gets reflected at the same angle (Angle of reflection) in other direction.,Property,Grade_7_Physics_Data
"When an object is placed in front of the mirror, an image of the object is formed by the mirror which appears to be behind the mirror.",Property,Grade_7_Physics_Data
"The image formed by a plane mirror is
Erect (upright position)
Of the same size as the object
At the same distance as the object
With right and left sides interchanged.",Property,Grade_7_Physics_Data
"The image formed cannot be obtained on a screen. If we place a screen (cardboard) in front or back of the mirror, the image will still can be seen only in the mirror and not the screen.","Property, Reasoning",Grade_7_Physics_Data
"A curved shining surface of an object acts as a mirror.

Most common types of curved mirrors are called spherical mirrors.
Spherical mirrors are classified based on their reflective surface as one of two types, concave and convex.
When a part of sphere is cut, the inside part is called the concave side, while the outside part is called the convex side.
A common example is a stainless steel spoon whose inside part behaves as a concave and outer part behaves as a convex mirror","Definition, Property, Example",Grade_7_Physics_Data
"When an image is formed on a screen with the help of a mirror, it is called a Real Image. Similarly, an image which can’t be obtained on a screen with the help of a mirror, it is called Virtual Image.",Definition,Grade_7_Physics_Data
Concave and convex mirrors can be used to produce real as well as virtual images.,Property,Grade_7_Physics_Data
"A concave mirror produces a smaller, bigger and inverted image based on its distance from the object.
When the distance between object and mirror is large, a small inverted virtual image is formed.
As the object is brought closer, the image becomes larger.
At a very close distance, the image is large and upright.","Property, Reasoning",Grade_7_Physics_Data
"The application of concave mirrors lies in the fact that when it is brought closer to an object, anenlarged virtual image is obtained.

Doctors use it for examining ears, nose, throat and eyes.
Dentists use it for examining teeth and gums.
Also, a concave mirror concentrates the light falling on it into a narrow beam. This is used in:

Torches
Car headlights","Property, Reasoning, Example",Grade_7_Physics_Data
"A convex mirror generally produces an erect and smaller image of the object.
Convex mirror produce virtual images of the objects spread over large area.
Convex mirrors cannot produce real images.",Property,Grade_7_Physics_Data
"Rear view mirrors of vehicles so that person driving is able to see most traffic behind him/her.
As reflectors in street lamps to diverge light over a larger area.
Used for making sun glasses and telescopes","Property, Reasoning",Grade_7_Physics_Data
"A Lens is a type of mirror which refracts the light instead of reflection.Refraction is the bending of a light when it enters a medium. Here the medium is Lens.

Lens are of various types but the two most important types are convex (on Bi-convex) and concave (or Bi-concave) lens","Types, Property, Definition",Grade_7_Physics_Data
"Convex lens are thicker in middle than the edges whereas concave lens are thinner at the middle than at the edges
Lenses are transparent and light can pass through them.
Convex lens are also called convergent as they concentrate (bend inward) the light falling on it.
Concave lens are also called divergent lens as they expand the light (bend outward) falling on it.","Property, Reasoning",Grade_7_Physics_Data
"The light rays emitted from the sun appear white but consists of 7 colours namely, red, orange, yellow, green, blue, indigo and violet. There are various phenomena and objects that can split these white rays into individual colour rays.",Property,Grade_7_Physics_Data
"Rainbow appears after or during rainfall due to the reflection, refraction and dispersion of suns light by the water droplets in the atmosphere.
","Definition, Property",Grade_7_Physics_Data
"A Prism is a transparent optical object with polished surfaces which refracts light. It refracts the sunlight into the seven colours.
A compact disc also displays fine lines of these 7 colours when sunlight falls on its shiny side.","Property, Definition",Grade_7_Physics_Data
"When the mirror is a part of a sphere, it is called spherical mirror. Spherical mirrors are of two types. In concave mirror, the reflective surface is inside the sphere, i.e. is depressed. In convex mirror, the reflective surface is outside the sphere, i.e. is bulged or protruded.","Definition, Types",Grade_7_Physics_Data
"Image formation in Concave Mirror: In case of concave mirror, the image is usually inverted, real and smaller than the object. When the object is kept too close to the concave mirror, the image is erect, virtual and larger than the object.",Property,Grade_7_Physics_Data
"Concave mirror is used by dentists and ENT specialists to focus a beam of light to see inside a patient’s mouth or ears.
Concave mirror is used in solar furnace, because rays of sunlight converge at a point once they reflect from the concave mirror.
Concave mirror is used as barber’s mirror, because it shows a larger image when object is too close.","Property, Reasoning",Grade_7_Physics_Data
"Image formation in Convex Mirror: In case of convex mirror, the image is erect, virtual and smaller than the object.",Property,Grade_7_Physics_Data
"Convex mirror is used in rear view mirrors, as it shows smaller images from a bigger field of view.
Convex mirror is used on hairpin bends, to see the vehicles coming from other side of the bend","Property, Reasoning",Grade_7_Physics_Data
Lens is made of two transparent surfaces in which at least one surface is curved. Convex and concave lenses in which both surfaces are either convex or concave are the most common types.,Property,Grade_7_Physics_Data
"Image formation in Convex Lens: In case of convex lens, the image is usually inverted, real and smaller than the object. When the object is kept too close to the convex lens, the image is erect, virtual and larger than the object.",Property,Grade_7_Physics_Data
"Image formation Concave Lens: In case of concave lens, the image is erect, virtual and smaller than the object.

",Property,Grade_7_Physics_Data
"Uses of Lens: Convex lens is used in microscope, telescope and camera. Convex lens is also used in reading glasses. Concave lens is used in spectacles.",Examples,Grade_7_Physics_Data
"The white light, or visible spectrum, is composed of seven colours. These colours are VIBGYOR (Violet, Indigo, Blue, Green, Yellow, Orange and Red). When white light passes through a prism, it breaks down into its component colours. This is the reason rainbows show all the colours of the visible spectrum",Property,Grade_7_Physics_Data
"Newton’s Disc: Since Newton was the first to make this; it is called Newton’s Disc. It is a circular disc on which seven colours of the rainbow are painted on seven different sectors. When the disc is rotated at certain speeds, it appears to be white. This shows, how the seven colours make the white light.","Definition, Property",Grade_7_Physics_Data
"What is Motion?
If an object keeps on changing its position with time, it is said to be moving or in motion. Motion can be of different types",Definition,Grade_7_Physics_Data
"Linear or straight in which the object travels in a straight line.

Circular in which the object travels along a circular path.

Curvilinear in which the object moves along a curve.",Definition,Grade_7_Physics_Data
"Slow and Fast Motion
If one object covers a particular distance in less time and another object covers the same distance in more time then the first object is said to be moving slowly while the second object is said to be moving faster",Reasoning,Grade_7_Physics_Data
"The Speed of an object

The distance travelled by an object in unit time is called its Speed.",Definition,Grade_7_Physics_Data
"Types of Speed:
Uniform Speed - When the object travels a fixed distance same time gaps, it is said to have a uniform speed.

Non-uniform speed - When an object covers different distances in different time gaps, it is said to have a non-uniform speed.

Average speed - The total distance travelled by an object divided by the total time taken by the object is called its average speed","Types, Definition",Grade_7_Physics_Data
"Measuring Time
There are many events in nature that repeat after a time interval:

Morning – The rising of the sun

Day and Night – The time between the sunrise and sunset

Month – The time between two new moons

Year – The time the earth takes to complete its one revolution around the sun",Property,Grade_7_Physics_Data
Time measuring devices or clocks - Clocks use the concept of periodic motion to measure time. It means that it uses motion that repeats itself in equal amounts of time. There are different types of time measuring devices.,"Definition, Property",Grade_7_Physics_Data
"Sundial – It uses the position of the sun to depict time

",Definition,Grade_7_Physics_Data
"Sand Clock (hourglass) – It uses sand to measure time 

",Definition,Grade_7_Physics_Data
"Water Clock – It uses water to measure time

",Definition,Grade_7_Physics_Data
"Pendulum Clock – It uses a pendulum to measure time 

",Definition,Grade_7_Physics_Data
Quartz Clocks – They have an electric circuit that works with the help of cells. They provide accurate time.,"Definition, Property",Grade_7_Physics_Data
"Periodic Motion of a Simple Pendulum

A simple pendulum contains a Bob. It is a metallic ball or a stone which is suspended from a rigid stand with the help of a thread.
","Definition, Property",Grade_7_Physics_Data
"Oscillatory motion - The to and fro motion of the pendulum is called as Oscillatory Motion. The bob of the pendulum does move from the centre (mean position) of the pendulum to its extreme positions on the other side.

","Definition, Property",Grade_7_Physics_Data
"Oscillation - When the bob moves from its centre (mean position) to its extreme ends it is said to complete one oscillation.

",Definition,Grade_7_Physics_Data
"Time Period of a pendulum - The time taken by the pendulum bob to complete one oscillation is called its Time Period.

",Definition,Grade_7_Physics_Data
"Speedometer - It is a device which is used in vehicles such as cars and trucks which measures the speed in kilometer per hour.

",Definition,Grade_7_Physics_Data
"Odometer - It is a device which measures the distance travelled by a vehicle in meters or kilometers.

",Definition,Grade_7_Physics_Data
"Distance-time Graph
A graph which represents the distance travelled by an object with respect to time is called a distance-time graph.",Defintion,Grade_7_Physics_Data
"Making a distance-time graph:
1. Mark the x-axis and y-axis and divide them in equal quantities.
2. Choose one scale to represent distance (for example, x-axis to represent distance where 1 km = 1 cm) and the other to represent time (for example, y-axis to represent the time where 1 min = 1 cm).
3. Mark the values of time and distance in the graph.
4. Mark the set of values of time taken and distance covered in that time by the object in the graph. For example, if 1 km is covered in 1 minute then mark 1 unit on both the x-axis and y-axis
5. Now draw lines parallel to x-axis and y-axis at the points that you have marked.
6. Mark the points where these lines intersect on the graph. These points show the position of the moving object.
7. Now join all the points of intersection and obtain a straight-line graph.
8. This is the distance-time graph of a moving object.

",Reasoning,Grade_7_Physics_Data
"The shape of the distance-time graph can be the following:

Shape of Graph         Interpretation 
Straight line

The object has a uniform or constant speed

Parallel to time-axis

It is a stationary object 

Curve shape

The object has a non-uniform speed",Relation,Grade_7_Physics_Data
"To find the speed of the distance-time graph
Speed = distance/time = (final position of object – initial position of object)/time taken by object

Also, the speed of the distance-time graph can be calculated by the Slope of a graph. The steeper the slope of the graph, the more is the speed of the object. For example, in the graph given below object A has a steeper slope. This means that object A is moving at a higher speed than object B

","Formula, Property, Defintion, Relation",Grade_7_Physics_Data
"Motion
When an object changes its position with elapse of time in respect to a stationary object, such as a building, electric pole, etc., the object is said to be in motion.",Defintion,Grade_7_Physics_Data
"Slow and Fast Motion: If an object ‘A’ covers a distance in less time and another object covers the same distance in more time, the object A is called a faster moving object and object B is called a slower moving object. In other words, object A has faster motion and object B has slower motion.","Definition, Property",Grade_7_Physics_Data
"Types of Motion
Rectilinear Motion: Motion along a straight line is known as RECTILINEAR MOTION OR MOTION ALONG A STRAIGHT LINE. For example: Motion of a car along a straight line.

Curvilinear Motion: Motion along a curve line is known as CURVILINEAR MOTION. For example: Motion of car or any moving object along a curve line.

Circular Motion: Motion along a circle is known as CIRCULAR MOTION. For example: Motion of cyclist along a circular park.","Definition, Types, Examples",Grade_7_Physics_Data
"Speed
Speed: Distance covered by an object in unit time is called speed.

Speed = Distance/Time

Speed may be divided into three types: Uniform speed, Non-Uniform Speed and Average Speed","Definition, Relation, Formula",Grade_7_Physics_Data
Uniform Speed: If an object covers a fixed distance in each unit of time the motion is known as UNIFORM MOTION or UNIFORM SPEED.,Definition,Grade_7_Physics_Data
Non-uniform Speed: If an object does not cover a fixed distance in each unit of time the motion is known as NON-UNIFORM MOTION or NON-UNIFORM SPEED.,Definition,Grade_7_Physics_Data
"Average Speed: Total distance covered divided by total time taken is known as AVERAGE SPEED.

Average Speed = Total Distance Covered/Total time taken","Definition, Formula, Relation",Grade_7_Physics_Data
"Speed is also known as VELOCITY.

",Definition,Grade_7_Physics_Data
"Periodic Motion
Periodic Motion or Oscillatory Motion: When an object repeats its motion after every fixed interval of time, the motion of the object is called PERIODIC MOTION OR OSCILLATORY MOTION.",Definition,Grade_7_Physics_Data
"In many wall clocks pendulum is used even today. A device having a string suspended with a fixed point with a bob at bottom is called pendulum.

","Definition, Property",Grade_7_Physics_Data
"The motion of pendulum starting from one extreme end to another extreme end and back to the first extreme end is called one oscillation. Similarly, the motion of a simple pendulum from its mean position to extreme left and extreme right and back to the mean position is called one oscillation.",Definition,Grade_7_Physics_Data
"Time Period: Time taken to complete one oscillation by the pendulum is called time period.

Time Period = time/number of oscillations","Definition, Formula, Relation",Grade_7_Physics_Data
"Speed and Time
Unit of Time: Time is measured in second. Thus, unit of time is second. Second is denoted by ‘s’.

60 second = 1 minute
60 minute = 1 hour
24 hour = 1 day
7 day = 1 week
365 days = 1 year",Definition,Grade_7_Physics_Data
