Paragraph,Labels
"Examples of Eddy currents. Metal plate: In absence of magnetic field: No damping. Consider a metal plate which is suspended freely with the help of thread. As there is no magnetic field the plate will keep on oscillating without damping. Metal plate: In presence of magnetic field: Damping exists. If the magnetic field is present it oscillates but it stops after some time because of damping. As the plate keep on entering the magnetic plate and coming out of it. When it enters the region of magnetic field there is increase in area. As a result flux changes. As flux changes there is induced current.The direction of the induced current will be opposite to itsmean position. When the induced current leaves the magnetic field, again current will be induced but in the opposite direction. This effect of induced currents together gives the effect of eddy currents.
Because of induced current the motion is dampedas they are opposing the motion of the plate. Metal plate with slots: In presence of magnetic field: Damping reduced . When the plate oscillates the damping is reduced as there is lesser area. The eddy currents are less as a result damping is reduced. Eddy currents willoppose the motion of the plate and as they are reduced so there the damping is reduced. Conclusion: Eddy currents always have the tendency to oppose the relative motion. They are same eddies in the water because as the movement continues and currents also keep changing their direction depending on the change in flux. Therefore they look like eddies in the water. Eddy currents also cause damping as they oppose motion. Eddy currents are generated in the copper plate,while enteringand leaving the region ofmagnetic field. Cutting slots in the copper plate reducesthe effect of eddy currents.","Examples, Reasoning "
"Eddy currents:Disadvantages. Dissipate electrical energy in the form of heat. Overheating of metallic cores of transformers, electric motors and other such devices. In order to avoid the overheating of the core,metallic sheets are taken in the form of very thin sheets.These sheets are electrically insulated. The cores are insulated with some insulating material as a result heat won’t get transferred to surroundings. These cores are known as laminated cores. By using these cores eddy currents are reduced as a result heat dissipation is reduced.",Properties
"Eddy currents : Applications. Electromagnetic brakes –To control the speed of fast moving electric trains. In case of fast moving trains,on the tracks, magnets are placed so that currents are induced on the wheels of the train. Electromagnetic brakes do not need any maintenance. It is very economical alternative to friction brakes. Consider a very big magnet is placed near the track on which train will go. Outer rim of the wheel is coated with copper. When the wheel comes near the magnetic field it will experience the magnetic field produced by the magnet. This will result in change in flux and induced current will be produced. The direction will be given by Lenz’s law.The induced field will give rise to repulsiveinduced field at the boundary.As a result the train slows down a little. When the train moves to other end of the magnet it will experience an attractive force because of induced current in the opposite direction. Train gradually slows down and finally comes to rest. The kinetic energy lost by the train = the heat gained by the copper. It obeys the law of conservation of energy.
","Examples, Reasoning "
Electromagnetic damping:- Electromagnetic damping in galvanometers helps to reduce oscillations around equilibrium positions. Galvanometers are the instruments which help in measuring currents. When the current passes through the galvanometer there is a needle(needle is like a small metal plate) which oscillate after some time it comes to rest. Because of electromagnetic dampingneedle comes to rest quickly.As a result magnitude of current can be detected. It is same as metal plate entering the magnetic field there is a current induced similarly when leaving the magnetic field there is a current induced. The current entering and leaving are in opposite directions. These eddy currents oppose the relative motion as a result electromagnetic damping occurs.,"Definition, Reasoning"
"Induction is defined as current production in the coil due to the change in magnetic flux in itself or another coil. Types of Induction:- Self-induction- There will be change in the magnetic flux in the coil itself because of which a current will be induced in itself. It is denoted by L. Mutual induction- There are 2 coils,if there is change in the magnetic flux in one coil then the magnetic field is induced in the second coil. It is denoted by M.Inductance:- Inductance is a quantity which measures the induction. It is also called as Coefficient of induction. Coefficient of induction is about the ratio of current induced with respect to magnetic flux. Flux through the coil Φ∝ I (current) If there are N turns in the coil, Total Flux is known as flux linkage NΦ∝ I=> NΦ =constant I This constant of proportionality is known as Inductance. It is a scalar quantity. I. unit is Henry(H). It depends on Geometry of the coil. Nature of the material on which it is wound.","Deffinition, Types"
"Self-Inductance. There is one coil in which there is change in the flux in that coil and because of that flux change. Current is induced in the same coil. Current tries to oppose the change in the flux. Consider a closed circuit,as a result the current will flow through the coil,therefore flux increases as a result current is induced in the coil. This induced current will oppose the growth of current. Suppose there is N number of turns in the coil.Therefore flux linkage of the coil N Φ∝ I. N Φ =LI where L=constant of proportionality and is known as self-inductance. Therefore Self-inductance will describe about the ratio of magnetic flux to the current it induces. Induced Emf e=-(d Φ/dt) By faraday’s Lenz’s law. Therefore e=-d/dt [LI] e= -L dI/dt Where I=current flows through the coil. This Emf will oppose the change in I.","Definition, Formula"
"Self-inductance of a long solenoid. Long solenoid is the one whose length(length) is very large as compared to radius(r) of the solenoid.(l>>r)
Using B=μ0nI =(μ0NI)/length where N= total number of turns, n= number of turns per unit length. Case 1:- core of the solenoid has air. 
Flux=NBA =NA((μ0NI)/length). =>Φ =(μ0N2IA)/length (equation(1)) Also total flux=LI (equation(2)) From (1) and (2) => LI =(μ0N2IA)/length
=>L = (μ0N2A)/length Case 2:- core of the solenoid is made of material which has permeability μr. L=(μr N2A)/length =>L= (μ0 μr N2 A)/length
 ","Definition, Formula"
Back Emf. Self-induced Emf is also known as back Emf. Back Emf tries to oppose change in the current.It tries to bring back the current. This implies the current needs to do work against back Emf. The work done by the current is stored as magnetic potential energy. In a coil there is increase in the current as a result there is change in the magnetic flux because of that there is induced Emf. This induced Emftry to oppose the change in the current.The current will do some work to oppose the back Emf. This work done is stored as magnetic potential energy. Mathematically:-  Work done = Potential Energy,"Definition, Formula, Reasoning"
"Mutual Inductance. In mutual inductance there are 2 coils, current is passed in one coil, as current increases there is change in the flux, and as aresult current is induced in the second coil. Consider coil 1 connected to battery and coil 2 is connected to the galvanometer. When the key is pressed attached to the coil 1 the current starts flowing, when the current starts increasing flux linked also starts increasing. Because of the increase in the flux linked with the coil1, the flux of coil 2 also increases. There is change in the flux of the coil 2 as a result emf is induced in the coil 2. Because of the induced emf induced current will be there in coil2. This induced current opposes the increase of the current in coil 1. Mathematically:- Φ(2)∝ I(1) =>Φ(2) = MI(1)where M = constant of proportionality known as Mutual Inductance. Induced emf in coil 2 e=-(dΦ(2)/dt) =>e =-d/dt(MI (1)) where I current flowing in coil (1). Therefore e =-d/dt (M I (1)) M (mutual inductance) depends on:- Geometry of both coils. Distance between coils. Orientation of coils.","Definition, Formula"
"Mutual Inductance between long co-axial solenoids
Co-axial solenoids means the centres of both the solenoids are same.
Radius of the smaller solenoid (1) =r1. Number of turns in smaller solenoid= N1.
Radius of the bigger solenoid (2) = r2.Number of turns in bigger solenoid= N2.
Case 1:-
Current flowing in the bigger solenoid = I2, as a result magnetic flux Φ1 will be induced in smaller solenoid.
Therefore N1Φ1∝I2
=>N1Φ1 =M12I2 equation(1) 
where M12 = mutual inductance of 1 w.r.t 2
Magnetic field due to I2 in (bigger solenoid 2) B =μ0n2I2 
=> B =(μ0n2I2)/length
Total Flux N1Φ1 =N1 BA1
=> =(N1A1μ0N2I2)/length equation(2)
From equation(1) and (2)
M12I2 = (N1A1μ0N2I2)/length
=>M12 = (μ0N1 N2A)/ length equation(a)
Case 2:-
Current I1 flowing through solenoid (1) this will result in flux solenoid (2)
Total flux N2Φ2 = M21I1 equation(3)
Also total flux N2Φ2 = N2 B1 A1 
where B =magnetic field due to smaller solenoid;
B1 =μ0n1I1;
=(μ0N1I1)/length
=>N2Φ2 = N2((μ0N1I1)/length)A1 equation(4)
Comparing (3) and (4)
M21I1 = N2((μ0N1I1)/length)A1
M21 = (μ0N2 N1A1)/ length equation(b)
Comparing (a) and (b)
ThereforeM12 = M21
",formula
"Self and Mutual Inductance
Consider a coil (1) which is connected to a battery and there is a key.
There is another coil (2) which is connected to galvanometer.
When the key is closed, the current flows through coil (1) there is a change in the flux of coil (1) because of which self-induced emf will be produced.
Because of current flow in coil(1) there will be change in the magnetic flux of coil(2) because of which induced emf will be produced in coil(2).
As a result mutual induction takes place in coil(2).
This shows both self-inductance and mutual inductance takes place simultaneously.
Therefore flux linked to coil 1:-N1Φ1 =L1I1 +M12I2
Induced emf in coil (1) e= -L1(dI1/dt) - M12(dI2/dt) 
Where(-)ive sign shows it opposes the growth of current.",formula
"AC Generator
An electrical generator is a device that converts mechanical energy to electrical energy.
The generation of alternating currents (ac) is based on the phenomenon of electromagnetic induction.
Whenever the magnetic flux changes an emf will be induced in the coil.
AC generator is a device that converts mechanical energy into electrical energy(alternating currents).
AC generator is an example of inducing an emf or current in a loop by varying the magnetic field and area vector.","Definition, Reasoning"
"Principle:-
Current is induced in a loop through a change in its orientation or a change in its effective area.
Induced emf is produced either by changing θ or by changing the area vector.
Direction of current is given by Fleming’s right hand rule.
Direction of the current in the circuit changes by the up and down movement of the loops.",Reasoning
"Construction:-
It consists of 2 poles(north and south) of a magnet in order to have uniform magnetic field.
There is a coil of rectangular shape also known as armature.
The armature is connected to 2 slip rings.
Slip rings helps in electrical contact with the brushes.It does not change current direction.
The slip rings provide a continuous connectionwith the wire around the armature.
These slip rings are attached to carbon brushes.
The rectangular coil is capable of rotating about an axis which is perpendicular to the magnetic field.
The axis of rotation is known as axle.",Definition
"Working:-
At initial time t=0;θ =0 where θ = angle between magnetic field (B) and area vector.
Magnetic flux Φ =BA as cos 0 =1.
When the coil rotates with the angular velocity ω;
After time t, θ = ωt;
Φ(t) =BA cosθ = BA cosωt (because θ is changing as a result magnetic flux is also changing)
Therefore change in flux occurs; By Faraday’s Law there will be induced emf.
Induced emf e=- N (dΦ/dt); where N = number of turns.
= –Nd(BA cosωt)/dt
e=NBAωsinωt
As sinωt is a periodic function,therefore it varies from -1 to +1.
Minimum value of e= - NBAω and maximum value of e=+ NBAω.
Therefore e =e0sinωt where e0=NBAω
Therefore Induced current will change periodically.
As the current is changing periodically that is why it is called as alternating current.
Rod is getting rotated by some external means; therefore rotation of rod is mechanical energy.
This mechanical energy is getting converted toinduce emf because of which induced current is produced.
Therefore because of mechanical energy alternating current is generated.As a result electrical energy is generated.",Formula
"Types of Generator:-
Hydro-electric generators:Power of flowing water is used to rotate the rectangular coil.
Thermal generators: - When thermal power is used to rotate the rectangular coil.
Power generators",Types
"Magnetic Flux: Magnetic flux through a plane of area dA placed in a uniform magnetic field B  where  is the angle between magnetic field lines and area vector of the surface. Dimensions of magnetic flux: 
SI unit:- Weber (Wb)",Definition
"Faraday’s Law: a) First Law: whenever there is a change in the magnetic flux linked with a circuit with time, an induced emf is produced in the circuit which lasts as long as the change in magnetic flux continues. b) Second Law: The magnitude of the induced emf is directly proportional to the rate of change of magnetic flux linked with the closed circuit. ",Definition
"Lenz’s Law: The direction of the induced emf or current in the circuit is such that it opposes the cause due to which it is produced i.e. it opposes the change in magnetic flux, so that- Where N is the number of turns in the coil. Lenz’s law is based on energy conservation. ",Definition
"Induced EMF and Induced Current:  Charge depends only on net change in flux does not depends on time. Induced EMF, Induced current, ",Definition
"Induced Emf due to Linear Motion of a Conducting Rod in a Uniform Magnetic Field. The induced emf,  If   are perpendicular to each other, then. Fleming’s Right Hand Rule is used to find the direction of induced current set up in the conductor.",Reasoning
"Induced EMF due to Rotation of a Conducting Rod in a Uniform Magnetic Field:The induced emf,  Where n is the frequency of rotation of the conducting rod. Induced EMF due to Rotation of a Metallic Disc in a Uniform Magnetic Field: Induced EMF, Current and Energy Conservation in a Rectangular Loop Moving in a Non – Uniform Magnetic Field with a Constant Velocity: Energy supplied in this process appears in the form of heat energy in the circuit.",Reasoning
"The net increase in flux crossing through the coil in time Δt is, Induced emf in the coil is, If the resistance of the coil is R, then the induced current in the coil is, Resultant force acting on the coil is. The work done against the resultant force. Energy supplied due to flow of current I in time Δt is, Or H = W","Formula, Reasoning"
Rotation of Rectangular Coil in a Uniform Magnetic Field: Magnetic flux linked with coil. Induced emf in the coil. Induced current in the coil. Both Emf and current induced in the coil are alternating.,Reasoning
"Self-Induction and Self Inductance: The phenomenon in which an induced emf is produced by changing the current in a coil is called self induction. where L is a constant, called self inductance or coefficient of self – induction. S.I. Unit- Henry (H) Dimension- [ML2T-2A-2] Self inductance of a circular coil. Self inductance of a solenoid. Two coils of self – inductances L1 and L2, placed far away (i.e., without coupling) from each other. For series combination: For parallel combination:",Definition
"Mutual Induction and Mutual Inductance: On changing the current in one coil, if the magnetic flux linked with a second coil changes and induced emf is produced in that coil, then this phenomenon is called mutual induction.Or    Thefore, M12 = M21 = M. Mutual inductance two coaxial solenoids. If two coils of self- inductance L1 and L2 are wound over each other, the mutual inductance is,  Where K is called coupling constant. Mutual inductance for two coils wound in same direction and connected in series. Mutual inductance for two coils wound in opposite direction and connected in series. Mutual inductance for two coils in parallel ",Definition
"Energy Stored in an Inductor: Magnetic Energy Density: Eddy Current: When a conductor is moved in a magnetic field, induced currents are generated in the whole volume of the conductor. These currents are called eddy currents. Transformer: It is a device which changes the magnitude of alternating voltage or current.For ideal transformer:In an ideal transformer:  In step – up transformer:In step – down transformer: Efficiency. Generator or Dynamo: It is a device by which mechanical energy is converted into electrical energy. It is based on the principle of electromagnetic induction. Different Types of Generator: AC Generator- It consists of field magnet, armature, slip rings and brushes. DC Generator- It consists of field magnet, armature, commutator and brushes. Motor: It is a device which converts electrical energy into mechanical energy. Back emf Current flowing in the coil, Where R is the resistance of the coil. Out put Power = Efficiency,",Definition
"Alternating Current. Electric current whose magnitude and direction reverses periodically with time is known as alternating current. Instantaneous value of alternating current is given by: I = Io sin ω t or I = Io cos ω t, Where Io is the peak value of current ω = 2 π v","Definition, Formula"
"Alternating Voltage. Alternating e.m.f. changes in magnitude continuously changes with time and reverses its direction periodically is known as alternating voltage: Instantaneous value of alternating e.m.f. is given by: V = Vo sin ω t or V = Vo cos ω t, Where Vo is the peak value of current ω = 2 π v","Definition, Formula"
"Average Value (or Mean Value) of Alternating Current. The Average value or mean value of alternating current over any half cycle is defined as that value of steady current which would sent the same amount of charge through a circuit in the time of half cycle as is sent by the AC through the same circuit, in the same time. If Io is the peak value of alternating current and Iavg is the average value of current, then Io and Iavg are related as, Iavg = 0.637 Io",Definition
"Root Mean Square value of Alternating Voltage. The root mean square value of alternating e.m.f. is defined as that value of steady voltage; which would generate the same amount of heat in a given resistance in a given time, as is done by the alternating e.m.f., when applied to the same resistance for the same time. Root mean square value of alternating current (Vrms)  and maximum value of alternating current (Vo) are related as, Vrms = 0.707 Vo","Definition, Formula"
"Root Mean Square value of Alternating Current. Root mean square value of alternating current is defined as that value of steady current, which would generate the same amount of heat in a given time, as is done by the AC, when passed through the same resistance for the same time. Root mean square value of alternating current (Irms)  and maximum value of alternating current (Io) are related as, Irms = 0.707 Io","Definition, Formula"
"Representation of AC Current and Voltage by Rotating Vectors — Phasors

The analysis of an ac circuit is by using a phasor diagram. A phasor is a vector which rotates about the origin with angular speed ω, as shown in the figure given below.

Phasor Diagram Representation

Image Source: NCERT Textbooks

The vertical components of phasors i and v represent the sinusoidally varying quantities v and i. The magnitudes of phasors I and V represent the amplitudes or the peak values im and vm of these oscillating quantities

The projection of voltage and current phasors on vertical axis,

i.e., im sin ωt and vm sin ωt respectively represent the value of current and voltage at that instant.",Property
"AC Circuit containing Resistor only

When an AC is passed through a circuit containing (ideal) resistor only, then, alternating current and alternating e.m.f. are in phase and V = IR",Formula
"When AC is passed through a circuit containing (ideal) inductor only, then, alternating current lags behind alternating e.m.f. by a phase angle of π/2.


It represents the effective opposition of the coil to the flow of alternating current. It is denoted by XL.

XL= ωL = 2 π f L

Inductive reactance increases with increase in frequency i.e., XL ∝ f

Graph of Inductive Reactance vs frequency","Property, Formula"
"AC Circuit containing Capacitor only

AC Circuit containing Capacitor only: Phasor Diagram

Image Source: NCERT Textbooks

When AC is passed through a circuit containing (ideal) capacitor only then, alternating current leads lead alternating voltage by a phase angle of 90o.

Inductive capacitance:

Effective opposition of the capacitor to the flow of alternating current is known as capacitive reactance. It is denoted by XC

XC = 1/(ω C) = 1/(2 π f C)

Inductive capacitance decreases with increase in frequency i.e., Xc ∝ 1/f","Property, Formula"
"Charging and Discharging of a Capacitor
When the capacitor is connected to an ac source, it limits or regulates the current, but does not completely prevent the flow of charge. The capacitor is alternately charged and discharged as the current reverses each half cycle.",Reasoning
