Paragraph,Labels
"Most of the devices and machines we use like an electric iron, oven, room heater, refrigerator, ceiling fan or an electric bulb work when an electric current flows through them.
",Property
"With help from an adult, look at what is inside a transparent electric bulb (Fig. 14.1). Among other things, you will see that it has a thin filament (a very thin metal wire). The filament heats up when an electric current is passed through it. It heats up so much that it begins to glow and give out light.
","Property, Causes"
"A device that can be used to produce an electric current is called a source of electric current. Common sources of electric current are cells and batteries (collection of cells) which comes in various shapes and sizes (Fig. 14.2), and electric current that we get from plug points in houses. A very useful kind of cell which we use very often is the dry cell. Due to a chemical reaction that takes place in cells and batteries, electric current is produced.","Example, Definition, Effects"
"A dry cell is a very convenient source of electric current. The dry cell, as its name suggests, contains dry or semi-solid ingredients.","Property,  Definition"
"Different Types of Electric Cells:
Apart from the simple primary cells like dry cell, there are different types of electric cells. Different cells use different methods for producing an electric current. Primary cells can be used only once, and have to be thrown away once they have been used up.
","Types, Definition"
"There are cells that can be recharged once they are drained. These are called secondary cells. They are used in mobile phones, laptops, and car batteries.","Definition, Property"
"Nowadays, solar cells are being used in many applications. Solar cells use sunlight to produce electric current. Fig. 14.4 Some devices that work on dry cell.
Many calculators are powered with solar cells. Solar panels made up of solar cells are used to light up streets and many homes.","Examples, Property"
"Three basic conditions (Fig. 14.5) are required for an electric current to flow.
• A device used to produce an electric current like cell, battery, or a plug point acting as a source.
• A wire made of a metal like copper, silver, or aluminium, which will allow electric current to flow through easily.
• An unbroken loop (of the wire) running from one terminal of the source, through various appliances, back to the other terminal of the source.",Property
"When we connect the terminals of a pencil cell (name given to the cell due to its shape) to a bulb using two wires, the bulb glows. This happens because we provide a path for the current to flow. A path for an electric current to flow is called an electric circuit.","Definition, Property, Reasoning"
"In Figure 14.6(a), one wire from the pencil cell is connected to the torch bulb, while the other wire is not. The electric circuit is not complete here. In Figure 14.6(b), both the wires from the cell are connected to the torch bulb. The electric circuit is complete in this case. Electric current flows only if there is an unbroken path or closed circuit starting from one terminal of the source, through the torch bulb, to the other terminal of the source. Thus, the bulb glows in Figure 14.6(b) but not in Figure 14.6(a). The circuit in Figure 14.6(a) is not complete. Hence, current cannot flow through the circuit and the bulb does not glow. Such a circuit is called an open circuit. The circuit in Figure 14.6(b) is complete. Electric current flows through the circuit and, as a result, the bulb glows. Such a circuit is called a closed circuit.","Reasoning, Property"
"Electric current flows in a particular direction. In an electric circuit, the electric current flows from the positive terminal to the negative terminal of the electric cell. Figure 14.7 shows the direction of flow of electric current in a circuit.",Property
"An electric switch is a device that is used to open or close an electric circuit. When we open an electric circuit, the flow of electric current in the circuit stops [Fig. 14.9(a)], and when we close an electric circuit, an electric current flows through it [Fig. 14.9(b)]. In an electrical circuit, a switch is sometimes.","Definition, Property"
"A schematic diagram of an electric torch is shown in Fig. 14.10. An electric torch has one or more dry cells inside it, which act as the ‘source’. These cells are connected through a switch to a small bulb. When the switch is pushed to the ‘on’ position, the circuit is complete and the bulb glows. When the switch is pushed to the ‘off’ position, the circuit is incomplete (broken). Now the current cannot flow through the circuit, and the light goes out",Property
"Look at Figures 14.11(a)-(d). Each shows a complete electric circuit. Then why is it that the bulb glows only in circuits (b) and (d)? It is because not all materials allow electric current to pass through them.
A material that allows electric current to pass through it is called a conductor of electricity like the key and the safety pin [Figs. 14.11(b) and (d)]. A material that does not allow electric current to pass through it is called an insulator of electricity like the rubber band and the plastic pen [Figs. 14.11(a) and (c)].","Property, Causes"
"All metals are conductors of electricity while some are better conductors than others. A few non-metals like graphite (pencil lead is made of graphite) are also conductors of electricity.
Examples of insulators are glass, wood, rubber, pure water, and dry air. Flowever, the smallest impurity in water (impurities are substances like salts, dissolved in water) makes it a conductor.
The handles of screwdrivers and testers used by electricians are usually made of wood or hard plastic. They also wear rubber gloves while repairing an electric switch to avoid electric shock.","Causues, Property"
"Electricity can be very dangerous, if you do not handle electrical devices carefully. One should never play with electrical wires and sockets. Electricity from cells is safe and you can experiment with it, but you have to be careful not to connect the two terminals of a cell directly through a wire/conductor. Electricity generated by portable generators is dangerous and should not be used for experiments.",Property
"According to a legend, the first magnet was discovered by a Greek shepherd named Magnes. It is said that the nails in his shoes and the iron tip of his staff got stuck to a large black rock on which he was standing. Greeks named this strange type of rock ‘magnetite’. The Chinese also knew about magnets. Ancient Chinese sailors used magnets for navigation.","Property, Definition"
"Magnets are made of materials that attract objects made of certain substances like iron, cobalt, and nickel.
Magnets come in various shapes and sizes (Fig. 12.1). They can be found as horseshoe, ring, cylindrical, or bar shape.","Property, Examples"
"Not all objects are attracted to magnets. Objects that are attracted by a magnet are said to be magnetic, e.g., iron and nickel. Objects that are not attracted by a magnet, are said to be non-magnetic, e.g., wood and plastic.","Defintion, Examples"
"When magnetic materials (like iron filings) are brought close to a magnet, they do not stick evenly to all parts of the magnet. They stick more on certain parts of the magnet. These are called the poles of the magnet. Magnetic forces are the strongest at the poles. For example, the two ends of a bar magnet are its poles.","Property, Examples"
"There are two types of poles in every magnet, irrespective of its shape. These are, by convention, called the North Pole (N) and the South Pole (S) (Fig. 12.2). The two poles cannot exist independently. That is, they always come in pairs.
If we break a bar magnet in the middle, we would get two pieces, each having a North Pole and a South Pole. We could go on breaking the magnet into smaller pieces, and everytime we would get both the poles in each piece.","Property, Definition"
"If a magnet is allowed to move freely, it comes to rest in a direction very close to the Earth’s North-South direction. This property of a magnet was used to find directions on the surface of the Earth by travellers. An instrument with a magnet that is used to find directions is called magnetic compass.",Property
"It has a small magnetic needle at its centre. This needle can rotate freely and always points in the Earth’s North-South direction. Different directions (north, south, east, and west) are marked on the compass. Figure 12.3 shows how one can find directions using a magnetic compass","Reasoning, Property"
"Do you know why a freely suspended magnet always points in the Earth’s north-south direction? It behaves like it is under the influence of another magnet. But where is this other magnet? It is the Earth itself. This alignment happens because of the influence of the Earth, which itself acts like a giant bar magnet (Fig. 12.4). It influences all the magnets (within its region of influence) to align themselves along its North-South direction.","Reasoning, Property"
"When two magnets are brought close to each other, they are either pulled towards each other, or pushed away from each other. When the magnets are pulled towards each other, they are said to attract each other. When they are pushed away from each other, they are said to repel each other. Whether the magnets attract or repel depends on which poles of the magnets are facing each other.","Defintion, Property, Reasoning"
"When like poles of the magnets (N-N or S-S) are brought close to each other, they repel. This is called repulsion.
","Definition, Property"
"When unlike poles of the magnets (N-S or S-N) are brought close to each other, they attract. This is called attraction","Definition, Property"
There are two types of magnets: temporary and permanent. Magnets that retain their magnetic properties only for a short period of time are called temporary magnets. Magnets that retain their magnetic properties for a long period of time are called permanent magnets.,"Types, Definition"
"Temporary magnets are usually made of iron, cobalt, or nickel. These materials behave like magnets only when they are near a strong magnet. They quickly lose their magnetic property if the influence of the strong magnet is removed.
:",Property
"Permanent magnets are made from mixtures of iron, cobalt, or nickel with other materials. These make strong magnets and retain their magnetic properties for a long time.",Property
"A magnet can lose its properties due to the following activities.
• Dropping from a height
• Hitting with a hammer
• Applying heat
• Improper storage can also cause loss of magnetic properties.",Causes
"Bar magnets should be stored in pairs, with Dropping from a height unlike poles alongside each other. A horseshoe magnet should be stored with a piece of soft iron kept across its poles.",Property
"Magnets have several uses:
1. Credit cards, ATM cards, and identity cards have a strip of magnetic material that stores information.
2. Television and computer monitors use magnets.
3. Computer hard discs and audio and video cassettes have magnetic material that store information.
4. Magnets are used in picking up substances made of iron from scrapyard.","Examples, Property"
"Transport is the mechanism by which a thing is carried from one place to another.

In the earlier times, land transport was done using animals or human backs, while, water transport was done on hollow wooden logs or simple wooden boats.
After the invention of wheel, bullock carts, chariots, camel carts were developed where animals used to pull vehicles.
Transport then evolved in the 19th and 20th century to bus, trains, cars, airplane, jets, steam and motor boats, etc.","Definition, Examples"
"Length tells us how long an object is while Distance gives the information as to how far two things are.

Before the invention of scales, length was measured with the help of random wooden sticks, hands or threads.
Similarly, distances were measured in days or time taken to reach from one place to another.","Examples, Property"
"Measurement is comparison on an unknown quantity with a known quantity. The known quantity is called Unit.

Measurement consists of two parts, a number (quantity) and a unit. Depending upon the unit, the number changes. For example, distance between point A and B is 4.5 Km or 2.79 miles.
If the length or distance is measured by the length of foot of a person, then the same length or distance will have different values as the length of foot of different people differ slightly.
In ancient times, cubit (length from elbow to finger tips), foot, distance between outstretched arm and chin were taken as the unit of length.","Definition, Examples, Property"
"Scientists all over the world have accepted a set of standard units for measurements. This system of units is called International System of Units (SI units).

In 1790, the French created a standard unit of measurement called the metric system.
SI unit of length is metre (m) while for large distances; the unit is kilometer (km).
1 km = 1000 m",Definition
"Below are a few pointers that need to be followed for taking correct measurements.

Use appropriate measuring instrument.For eg:
For measuring lengths of smaller straight objects like a pencil, a 15 inch scale should be used.","Reasoning, Examples"
"Use a whole (non-broken) instrument.If using an instrument with broken edges, start from the portion where the instrument is complete.",Property
Keep your eye at the correct position for taking the readings. Incorrect position may lead to slightly incorrect reading.,Reasoning
"A curved line or surface cannot be measured by a straight scale, a measuring tape or thread must be used instead.To measure a curved line using a thread, follow the below steps:

Tie a knot at one end of the thread.
Place the thread at the beginning of the line and try to measure a small initial portion of the line which is relatively straight.
Place your thumb at the other end of the measured portion and measure next straighter portion.
Repeat the above step till the end of line is reached. Make a knot at the end of the line.
Now, straighten the thread and measure the length of the two knots on a scale.","Property, Example"
"Objects which are moving around us are said to be in motion whereas the objects which are not moving are said to be at rest.

Any change in position with time can be termed as motion.
A motion can be termed as slow or fast based on the distance it covers in a specific amount of time. More distance covered means the motion is fast and vice versa.
Motion can be the complete object or the parts within it.
Objects like train, bird, hands of a clock, ants are moving objects whereas house, tree, wall clock are non-moving or stationary objects.","Definition, Property, Examples"
"Rectilinear Motion – This is a motion where objects move along a straight line. Examples march past of soldiers, sprinters in race, falling stones etc.","Defintion, Examples"
"Circular Motion - This is a motion where objects move along a circular path. Examples hands of a clock, blades of a fan, rotation of earth around the sun etc.A type of circular motion where an object spins on its own axis, it is called rotational motion. Example rolling ball, spinning top etc.","Definition, Examples"
"Periodic Motion – This is a type of motion where the object repeats its motion after a fixed interval of time. Examples pendulum of a clock, motion of child on a swing etc.","Definition, Examples"
When you compare an unknown quantity with a known fixed constant it is called measurement,Definition
It consists of units and numbers,Property
There is the conventional system of measurements where the method predicts approximately the measure of an object. It varies from person to person,Reasoning
"There are different types of motion – rectilinear, circular, periodic",Types
"A Magnet is a material or objects that has a property of attraction or pull force for ferromagnetic materials like iron, cobalt, nickel etc.

Magnets attract Ferromagnetic materials like Iron towards it.
Magnets also attract and repel other magnets.
Applications of attraction property of magnets in day to day life are – Refrigerator doors, pencil boxes or purses with magnetic closure buttons, iron separator from waste etc.","Definition, Property, Examples "
"A Magnet is a material or objects that has a property of attraction or pull force for ferromagnetic materials like iron, cobalt, nickel etc.

Magnets attract Ferromagnetic materials like Iron towards it.
Magnets also attract and repel other magnets.
Applications of attraction property of magnets in day to day life are – Refrigerator doors, pencil boxes or purses with magnetic closure buttons, iron separator from waste etc.","Definition, Property, Examples "
0,"Types, Defination, Examples"
"A magnet has most magnetism at the two ends of it. These ends are called Poles.

As a convention, these ends are usually referred to as South (S)and North (N)
In a freely suspended magnet, the end of the magnet that points towards North is called its North seeking end or North Pole.The other end of the magnet that points towards South is called its South seeking end or South Pole",Property
"Magnetic and Non-Magnetic Materials
Materials which get attracted towards magnet are called Magnetic materials. Examples are iron, nickel, cobalt.
Materials which do not get attracted towards magnet are called Non-Magnetic materials. Examples are paper, wood, plastic etc.","Types, Defination, Examples"
"Finding directions using Magnet

A freely suspended magnet always comes to rest in North-South direction. This property has been used from olden days to find directions.
Compass is a device used to find directions.
Compass consists of a magnetized needle and a dial, marked with directions, inside a box with glass cover. The freely rotating needle comes to rest in north-south direction as depicted on the dial. The north pole of the needle is marked red for distinguishing it from south pole.",Reasoning
"Attraction and Repulsion

Magnets attract iron but can attract and repel another magnet.

Like or same poles of two magnets when brought closer, they repel each other. Example, south pole of one magnet repels south pole of other. Similarly, north pole of one magnet repels north pole of the other.
Unlike or different poles of two magnets when brought closer, they attract each other. Example, south pole of one magnet attracts north pole of other","Property, Reasoning, Example, Effects"
"Below are a certain conditions where a magnet may get damaged:

Magnets lose magnetism when they are heated, hammered or dropped from some height.
Magnets become weak if they are not stored properly.",Property
"Magnets should be stored as mentioned below:

Magnets should be kept in pairs with their unlike poles on the same side. They must be separated by a piece of wood while two pieces of soft iron should be placed across their ends.
For horse-shoe magnet, one should keep a piece of iron across the poles.",Property
"Magnets also have adverse effects on equipment. Precautions to be taken are:

Keep magnets away from cassettes, mobiles, television, music system, compact disks (CDs) and the computer.","Property,  Examples"
Light makes things visible to us,Property
"Some objects are luminous and others are non-luminous
",Property
"Objects can be categorized as transparent, translucent and opaque
",Types
"Shadow forms when an opaque object blocks light
",Property
Eclipse is a natural phenomenon,Definition
A closed loop or path that forms a network of electrical components and electrons are able to flow.,Effect
Electrical wires act as a battery in such a path.,Property
"A simple circuit has a power source, conductor, switch and a load","Definition, Property"
"Objects that produce their own light are called Luminous Objects. Example, Sun, Fire","Definition, Examples"
"Objects that do not produce their own light but are visible when reflect light falling on them are called Non-Luminous Objects. Example - Table, planets. Non-luminous objects can be classified as-
Transparent, transclucent, Opaque","Definition, Examples"
Shadows are dark regions formed when an opaque object blocks the path of light. This formation is possible only because light only travels in a straight line.,"Property, Causes"
"Mirrors and Reflections
All of us are used to seeing a mirror every day. The image that we see in a mirror is called Reflection. The mirror deflects the direction of the light that falls upon it.","Definition, Property"
Distance: How far an object travels constitutes distance!! The GPS system introduced these days accurately measures the distance from one place to another.,Definition
"Standard Units of Measurement
Earlier the ‘cubit’ was accepted as a standard unit in Egypt. A cubit meant the length between fingertips and elbow. Owing to the differences in the length of body parts of each person these arbitrary systems became obsolete. Other units used earlier were ‘foot’, end of outstretched arm and chin, fist, etc.",Definition
"Nowadays, the International System of units or the SI units have been accepted all over the world as a standard unit of measurement.

1 m = 100 cm

1 kg = 1000 g

1s = 1/60 min

The MKS system i.e. the metre-kilogram-second system is called the SI System",Formula
"Types of Motion
Rectilinear Motion: When an object moves along a straight line, it is said to be undergoing rectilinear motion. For Example, A train moving along a railway track.


","Types, Definition, Examples"
"Circular Motion: Have you seen the hands of a clock? The motion exhibited by the hands of a clock is called Circular Motion.

","Definition, Examples"
"Periodic Motion: When an object repeats its motion after a fixed interval of time it is said to be undergoing periodic motion. For Example, Pendulum

","Definition, Examples"
"
Rotational Motion: This motion can be easily understood by imagining Earth’s rotation. When the Earth spins on its own axis it is said to be undergoing rotational motion.

.","Definition, Examples"
Motion is defined as the change in position of an object,Definition
"Introduction to Electricity and Circuits
Electricity has become so common that sometimes we forget its immense applications.",Definition
"Advantages of Electricity:
Light in our houses, offices, roads etc. even past sunset

To operate pumps which in turn have a lot of applications

Electrical appliances like refrigerator, fans etc.

Building houses, installing equipment etc","Effects, Examples"
"Electric Cell and Electric Bulb
Features of an Electric Cell:

It is a small cylindrical structure which helps in operating the devices.

A small metal cap is placed on one side and a metal disc is present on the other side.

All cells have two terminals: Positive and Negative.

The metal cap and metal disc are positive (+) and negative (-) terminals of the electric cell respectively.

Chemical energy is converted into electrical energy inside a cell. When the chemicals are exhausted, the cell stops working.

","Definition, Property"
"Features of an Electric Bulb:

The outer covering is glass and the base is metallic.

The part of the bulb which glows is called Filament and is made up of tungsten.

The filament is attached to two wires. One of the wires is connected to the metal case at the base and the other wire is connected to the metal wire at the centre of the base.

Base of the bulb and metal tip are the terminals of the bulb and they do not touch each other.",Property
"An Electric Circuit
Consider an electric cell and a bulb. The terminals of the cell are connected to the terminals of the bulb by the means of electric wires. Such an arrangement of cell and bulb is called an Electric Circuit. The circuit is said to be complete in this case because of which electricity will flow and the bulb will glow.",Definition
"Electric Switch
Switch is an integral part of an electric circuit. It is a simple device which breaks or completes a circuit. When the switch is ‘on’, the circuit is complete. When the switch is ‘off’, current does not flow in the circuit. So an electric appliance will only work if the switch is ‘on’.

",Definition
"Conductors - Materials that allow electricity to flow through them easily.

",Definition
"Human body is a conductor, so touch a current carrying wire is detrimental and so insulating it prevents from an electric shock.

Some examples of conductors are: Metals like copper, Iron

Some examples of insulators are: Rubber, Plastic","Property, Examples"
"What are Magnets?
Magnets are pieces of iron or other materials which exhibit the properties of magnetism i.e. the ability to attract other objects that contain iron. Compass needles, fridge magnets and MRI scanners are some common examples of magnets.","Definition, Property"
"It is said that magnets were discovered after a shepherd named Magnes accidentally got his iron stick stuck to a rock. It was later discovered that the said rock had magnetic properties and was called Magnetite, named so after the shepherd.",Reasoning
"These days magnets come in different shapes and forms such as: horseshoe magnet, bar magnet, cylindrical or a ball-ended magnet, needle magnet etc.",Types
"Magnetic Materials: Materials like nickel, cobalt and iron are called magnetic materials. These materials are attracted to magnets.

","Definition, Property, Examples"
"Non-Magnetic Materials: Materials like rubber, plastic, cloth, glasses etc. which are not attracted to magnets are referred to as non-magnetic materials.","Definition, Property, Examples"
"Poles of Magnet
We can observe a very interesting property about magnets which is that when we try to attract iron filings or any other magnetic objects to a magnet, they always accumulate at the ends of the magnet.

This is because near the poles the magnetic field of the magnet is very strong.",Reasoning
"A Magnetic field is defined as the region around a magnet within which the magnetic force acts. Being strongest at the poles, this is why magnetic objects get attracted to the ends of the magnet.",Definition
Another great property of a magnet is that it can prove extremely helpful in navigating directions. This is because a freely suspended magnet always points in the North-South direction,"Property,  Reasoning"
"This property of magnet is used to make a compass. A magnetic needle is placed inside a box with directions marked on it. It is allowed to rotate freely so that when the compass is kept at the position of rest, the needle points towards the north and south direction.",Property
"Attraction and Repulsion among Magnets
Opposite or unlike poles i.e. North and the South Pole attract each and vice versa.

Similar or like poles like north and north poles of two magnets repel each other. Same is the case with South poles of two magnets.","Types, Property"
"Notes of caution
When heated, hammered or dropped from a height, magnets tend to lose their properties.

They become weak if they are not stored properly and hence:

Bar magnets should be stored in pairs separated by a small block of wood and their unlike poles facing the same side with a soft iron across their ends.

A piece of iron should be kept across the poles in case of a horseshoe magnet.

Magnets should be kept away from computers, mobiles, televisions etc.",Property
"Light is a form of energy which helps us in seeing objects. When light falls on an object, some of the light gets reflected. The reflected light comes to our eyes and we are able to see an object.","Definition, Property"
"Sources of Light
luminous: A body which emits light by itself. It can be natural like sun or artificial like electric bulb.
","Definition, Examples"
"non-luminous
A body which does not emits light by itself.","Definition, Examples"
"transparent
If we are able to see clearly through an object, it is said to be transparent like water, glass
","Definition, Examples"
"Translucent
If we are able to see not clearly through an object, it is said to be translucent like butter paper
","Definition, Examples"
"opaque
If we cannot see through an object at all, it is an opaque object like wood","Definition, Examples"
"Formation of shadows
When an opaque object is placed in path of light, a dark portion is formed on the opposite side of object on the screen. This dark portion is shadow.
(1) The size of shadow depends on the distance of source of light and on the angle at which the light rays fall on the object.
(2) If the source of light is closer to the object, a larger shadow is formed than when the source of light is far from the object.
(3) The shadow can be seen only on a screen. The ground, walls of the rooms, a building, or other such surfaces act as a screen for the shadows you observe in everyday life
(4) Shadows sometimes gives lot of information about the object.
(5) Shadows are in black in colour and this is not changed by the colour of the opaque objects. So a red and yellow rose will have same black shadows.
","Property,  Reasoning"
"When we pass under a tree covered with large number of leaves, we notice that small patches of sun light under it. These circular images are, in fact, pin hole images of the Sun. The gaps between the leaves, act as the pin holes. These gaps are all kinds of irregular shapes, but, we can see circular images of the Sun. This is called Natural Pin-Hole Camera",Reasoning
Light travels in the straight line and this is called rectilinear propagation of light,Property
"Two important terms in this regard
(1) Ray of Light: It is the path along which light travels in the given direction. Now as we know light travels in the straight line. We can represent ray of light by straight line with direction arrow
Ray of Light
(2) Beam of light: A bunch of ray of light in the given direction","Types, Definition"
"We all have seen the plane mirror. It is very commonly used in our life. We used that in the car, dressing room etc. Plane mirror are formed by layering molten aluminium or silver onto the back of a sheet of glass inside a vacuum","Definition, Examples"
"We see our face in the Mirror. This is possible through the phenomenon Reflection of light. Basically Light rays reflected from parts of our body fall on mirror and are reflected back. When these reflected rays reach our eyes (reflected on our retina), we can see the image in the mirror.
So reflection of light is changing the direction of the light.",Reasoning
"Image formation by Plane Mirror
The image formed is erect, same size and laterally inverted. It retains the same colour as the object","Definition, Property"
"Lateral Inversion
The right side of the object appears to be the left side of its image and vice-versa
",Definition
"What is Motion?
The term motion can be simply defined as the process of moving, or an object changing its place or a position. Running, walking, throwing, Jumping, bouncing are all examples of motion.","Definition, Examples"
Linear motion – A motion in a straight line is called the linear motion.,Definition
"Curvilinear motion – A motion on a curved path is called the curvilinear motion.
",Definition
"Circular motion- A motion on a circular path is called the circular motion.
",Definition
Periodic motion- A motion which recurs after every fixed interval of time is called the Periodic motion,Definition
The method of comparing the known quantity with an unknown quantity is called the measurement. For example – Measuring the height and length of a table.,"Definition, Examples"
"The Standard Unit of Measurement was introduced to maintain the uniformity in measurements.

The SI Unit or the International System of Units is the most widely used system of measurement in the world, which is based on the MKS or Meter-Kilogram-Second System. According to the SI system, the unit of force is Newton, length is the meter and mass is a kilogram .",Definition
"HISTORY OF TRANSPORTATION
Back in the day when there were no vehicles, people had to walk on foot or use animals for transportation. To travel across the water bodies, boats were used.
With the invention of the wheel, transportation became easier. Animals were used to pull the vehicles. These vehicles moved on wheels.
Then came the steam engine. It made long distance transportation easier.",Definition
"MEASUREMENT OF LENGTH-DISTANCE
People used strings in order to measure lengths. They also used the length of foot as a standard measurement of length. That’s where the term ‘foot’ comes from.
A ‘hand span’ was also used. A ‘span’ is the distance between the tip of the thumb and the tip of the little finger when the hand is fully extended.
The fixed known quantity which is used to measure an unknown quantity is called a ‘unit’.","Definition, Property, Examples"
"STANDARD UNITS OF MEASUREMENT
The standard set of units accepted all over the world is the International System of Units
(SI Units).",Definition
"The SI unit of length is a metre.
 Other units used for measuring length are centimetre, millimetre, etc.","Definition, Examples"
"1  metre= 100 centimetres
1 centimetre= 10 millimetres
1 kilometre= 1000 metres",Formula
"Rectilinear motion
If an object moves in a straight line, the motion is called rectilinear motion. E.g.: Motion of a vehicle on a straight road","Definition, Examples"
"Circular motion
If an object moves in such a way that its distance from a fixed point remains same, the motion is called circular motion. E.g.: Motion of a fan","Definition, Examples"
" Periodic motion
If an object moves in a way that it repeats its motion after some time, the motion is called periodic motion. E.g.: A swinging pendulum","Definition, Examples"
"Light helps us see things. Without light, we won’t be able to see anything.
It is interesting to note that light travels in a straight line.","Definition, Property"
Luminous objects: Objects which emit their own light are called luminous objects. E.g.: Sun,"Definition, Examples"
"TYPES OF OBJECTS
1. Transparent
     If you can clearly see through an object, it is called a transparent object. These objects allow light to pass through them. E.g.: Glass, pure water
2. Opaque
     If you can’t see through an object at all, it is called an opaque object. These objects do not allow light to pass through them. E.g.: Wood, metal.
3. Translucent
     If you can see through an object but not very clearly, it is called a translucent object. E.g.: Tracing paper.","Types, Definition, Examples"
"SHADOWS
When the path of light is blocked by an opaque object, a shadow is formed.
A screen is required to see a shadow.
The shadow of an object depends on how the object is placed against the light.",Definition. Property
"ECLIPSE: Solar & Lunar Eclipse
When the moon comes between the Earth and the Sun, thereby blocking the light of the Sun, it is called a Solar Eclipse.
When the Earth comes between the Sun and the Moon, it is called Lunar Eclipse.",Definition
"MIRROR AND REFLECTION
A mirror is a glass plate, one side of which is silvered. We can see our reflection in a mirror.
Reflection is nothing but an image of an object seen in a mirror.
 ",Definition
"Electricity makes our life easier. Imagine how difficult our life would be without electricity.
Some gadgets which run on electricity are plugged into sockets. But there are some gadgets which do not require being plugged in. these gadgets use electric cells to work.","Effects, Reasoning"
"ELECTRIC CURRENT
In simple terms, electric current is the flow of electricity. Current flows from the positive terminal to the negative terminal of the cell. We’ll learn about the electric cells later.",Definition
"ELECTRIC CIRCUIT
When various components such as bulb, cell and switch are arranged in a manner that current can flow through it, the arrangement is called an electric circuit. When the switch is closed and current can pass through the circuit, it is called a closed circuit. If the switch is off and the current does not flow in the circuit, it is called an open circuit.
 ","Definition, Types"
"Electric cell
An electric cell uses chemicals stored inside it to produce electricity. There is a small metal cap on one side and a metal disc on the other side. The metal cap is the positive terminal and the metal disc is the negative terminal. The chemicals inside the cell produce electricity and when they get used up, the cell stops working.","Definition, Reasoning"
"Bulb
A bulb is nothing but a filament enclosed in a glass case. A filament is a thin wire that gives off light. A bulb also has two terminals. An electric bulb glows when electric current passes through it.",Definition
"Switch
A switch is used to either complete a circuit or to break it. When the switch is on, the circuit is complete and current flows through it. When the switch is off, the circuit is incomplete and current does not flow through it.",Definition
"CONDUCTOR
Conductor is a material that allows electric current to pass through it. E.g.: Metals
 ","Definition, Examples"
"INSULATOR
Insulator is a material that does not allow electric current to pass through it. E.g.: Wood, air","Definition, Examples"
This property due to which a substance attracts iron is called magnetism. Such substances are called magnets.,Definition
