Paragraph,Labels
"Following examples illustrate this effect:

It is easier to push a nail into a wooden door through its pointed end than through its blunt end, because small area of the pointed end helps in creating more pressure and it becomes easier to insert the nail.
Shoulder straps of your school bag are wide. A larger area helps in reducing the pressure on the shoulder; and makes it less painful to carry the bag.
Camel’s feet are wide; making for larger area. Due to this, a camel can easily walk on sand.
Eskimos wear ski-like footwear. Wider area of the footwear reduces pressure and thus prevents the Eskimo’s feet from sinking in ice.",Examples
"Liquids and gases exert pressure as follows:

Pressure on the bottom of container depends on the height of column of gas or liquid. Due to this, divers have to withstand a large pressure at the bottom of the sea.
A fluid exerts pressure on walls of the container. Containers for gases and liquids are usually cylindrical ion shape to equally distribute the pressure on all portions of the wall.
A fluid exerts equal pressure at same depth.","Examples, Property, Causes"
Atmospheric Pressure: The pressure exerted by atmospheric air is called atmospheric pressure. The weight of air in a column of height of atmosphere and area 10 x 10 cm is 1000 kg. This is roughly same as the area of our head. Can you believe that you have 1000 kg of air on your head?,"Definition, Examples"
Paragraph,AnsTypes
"Force is a push or a pull. Living and non- living things can apply force. To apply a force over an object interaction between object and source of force is necessary. Whenever force act two object are involved. One which applied force, the other which receive force. Examples: To kick ball we need to push it, to pick the book we need to pull it, to hit the ball we need to push it and to lift the box we need to push it.","Definition, Causes, Examples"
The measurement of strength and amount of force is called magnitude of force. Two or more forces on the same object can be applied in the same direction and opposite direction.,"Definition, Property"
"When two or more forces are applied in the same direction, then the total or net force is the addition of magnitude of both the forces. Example: When two persons push the box in the same direction with the magnitude of forces of each 2 N, then resultant force will be-Net force:- 2N + 2N= 4N (In the direction of applied force)","Reasoning, Examples"
"When two forces are applied over an object in the opposite directions, the total effective or net force is the difference of magnitude of two forces. Example:(i) When two persons push the box in the opposite direction with the magnitude of forces of each 2 N, then resultant force will be-Net force:- 2N - 2N= 0N (Box will not move) (ii) If one person is applying a force of 6 unit in one direction and another person is applying a force of 8 unit in opposite direction, Then the resultant force: 8N - 6N= 2N (In the direction of higher magnitude force). In this case, force will act in the direction of higher magnitude of force.","Reasoning, Examples"
"Force can change the state of motion: An Object can be in two states. (a) Rest State: When an object is not moving. This means a stationary object is called in the state of rest. For example –A ball and book kept over the ground and not moving. (b) Motion State: A moving object is called in the state of motion. For example – a moving car, a moving ball, etc. A Force can move a stationary object. A force can speed up, decrease the speed and change the direction of a moving object. Force can stop a moving object. Finally we can say that force can change the state of motion","Effects, Definition, Examples "
"Some examples: A boy want to move a tyre faster it has to be pushed repeatedly, Change in the direction of moving ball after it strikes the ruler placed in its path, In the Football game, a goalkeeper stops the football going towards the goal post by applying a force by his hand. In the cricket game, a batsman can push a fast moving ball in the same direction or opposite direction or change the direction of the movement of ball. Because of force being applied from his bat.","Examples, Reasoning"
"Force can change the shape of an object:(i) When you apply force on an inflated balloon by pressing it using your hand from both sides, then the force of pressure changes the shape of balloon.(ii) You can change the shape of rubber band and spring by stretching it in opposite direction.(iii)You can change the shape of dough into bread by applying force with a rolling pin. So we can say that forces can change the shape of an object.
","Effects, Examples, Reasoning"
"Types of Force:1. Contact Force: (a) For contact force, interaction between objects is necessary. Force that comes into action after the interaction between objects is called contact force. Contact force works on the point of contact. Example; pushing a car, hitting the ball, kicking a ball, etc. (b) Muscular force, friction force are types of contact force.","Types, Definition, Examples"
"Muscular force: Force due to the action of muscles is called muscular force. We can say force resulting because of action of muscle is called muscular force. Muscular force is applied only after interaction with the object. Examples: (a) When we push the object like school bag or lift the bucket of water we use the muscular force, (b) Animals also use of muscular force to carry out their task.","Definition, Examples"
"Friction Force: The forces of friction arises between the surfaces of two objects. The force of friction always acts on all moving object and its direction is always opposite to the direction of motion. Force of friction comes into action only after interaction between two objects, thus, it is a type of contact force.","Definition, Types"
"Examples: Due to force of friction between the surface of the ball and the ground that brings the moving ball to rest, When we stop pedalling a bicycle, it gradually slow down and finally comes to s stop due to force of friction.","Examples, Reasoning"
"Non- Contacting Force: Force due to without interaction between two objects is called non-contact force. For example; a magnet can pull an iron nail from a distance, Magnetic force, Electrostatic force and Gravitational force are examples of non-contact force.","Definition, Types, Examples"
Magnetic Force: A magnet can exert a force on another magnet without being in contact with it. The force exerted by a magnet is an example of a non-contact force. Example: Opposite pole of two magnets attract each other and same pole repel each other.,"Definition, Examples, Types"
"Electrostatic Force: When a charged body exert a force on another charged or uncharged body is called electrostatic force. A charged body attracts an uncharged body. A positively charged body attracts a negatively charged body and repels a positively charged body without coming in contact, thus it is a non-contact force.","Definitiion, Types"
"Gravitational Force: Gravitation force is exerted by earth, moon, sun and other planets to others. Earth and other planets attract all objects towards them. Since, earth attracts all objects even without coming in contact, thus gravitational force is a non-contact force.Example: When we release an object from a height, it falls over the ground because of gravitational attraction of earth.","Definition, Examples, Types"
"Pressure: The force acting on per unit area of a surface is called pressure. We can say force per unit area is called pressure. Pressure = Force / Area. From above formula, we can say that with same applied force, Pressure is indirectly proportional to the area, thus pressure decreases with increase in area and increases with decrease in area.","Definition, Formula, Relation"
"Example: (i) When we cut an apple, we need to use the sharp edge of the knife instead of blunt knife because the sharp edge of knife has small surface area and we need to exert less force with high pressure to cut the apple. (ii) When we put a nail into a wooden board, the pointed end of the nail is kept at the front. The pointed end of the nail has very small surface area and this enables us to apply a greater pressure with the applied force.","Examples, Reasoning"
"Pressure exerted by Liquid and Gas: (i) Liquid and gas can also exert pressure on inner walls of the container in which they are kept. (ii) When air is filled, a rubber balloon gets inflated from all sides. This happens due to air or gas exerts pressure over inner walls of the balloon. (iii) Water starts leaking if there is a pore in the bottle. This happens due to water exerts pressure over the walls of the bottle.","Types, Examples, Reasoning "
"Atmospheric Pressure: (i) Our atmosphere is made of different types of gases. Since gases exert pressure, thus Pressure exerted by air (present in atmosphere) is called atmospheric pressure. (ii) The weight of air in a column of the height of the atmosphere and area 10 cm × 10 cm is as large as 1000 kg. The reason we are not crushed under this weight is that the pressure inside our bodies is also equal to the atmospheric pressure and cancels the pressure from outside. (iii) A pressed rubber sucker on a plane surface does not come off because of atmospheric pressure.","Definition, Reasoning, Examples"
Paragraph ,Ans Types
"Force: A push or a pull, that changes or tends to change the state of rest or of uniform motion of an object or changes its direction or shape.",Definition
A force arises due to the interaction between two objects.,Cause
Force has magnitude as well as direction. ,Property
The SI unit of force is newton. ,Property
A change in the speed of an object or the direction of its motion or both implies a change in its state of motion. ,"Cause, Definition"
Force acting on an object may cause a change in its state of motion or a change in its shape. A force can act on an object with or without being in contact with it.,"Effects, Property"
Types of Forces: Contact Forces: The forces act on a body when the source of force is in actual contact with the body. The point where the force is applied on an object is called the point of application of force (or point of contact).,"Types, Definition"
"Muscular Force: The force exerted by the muscles of the body. We make use of muscular force of animals like bullocks, horses and camels to get our activities done.","Definition, example"
Mechanical Force: The force produced by a machine.,Definition
Frictional Force: The force that opposes the motion of an object.,Definition
Non-Contact Forces: Forces which do not involve physical contact between two bodies on which they act,Definition
"Magnetic Force: A magnet exerts a non-contact force on objects made of iron, steel, cobalt or nickel.","Definition, example"
Electrostatic Force: The force which result due to repulsion of similar charges or attraction of opposite charges.,Defintion
Gravitational Forces: The force that exists between any two bodies by virtue of their mass,Definition
"Pressure: Thrust acting per unit surface area is called pressure. Thrust is the force acting on an object perpendicular to its surface. In SI system, pressure is measured in newton per square metre which is equal to 1 pascal (Pa).","Definiton, Formula"
"Like solids, fluids (liquids and gases) also exert pressure. A solid exerts pressure only in the downward direction due its weight, whereas liquids and gases exert pressure in all directions. Hence liquids and gases exert pressure on the walls of their container.","Property, example"
The thick blanket of air that covers the earth is termed atmosphere. The pressure exerted by the atmosphere is called atmospheric pressure. The tremendous atmospheric pressure surrounding us is not felt by us because the fluid pressure inside our bodies counter-balances the atmospheric pressure around us.,"Definitoin, Reasoning"
Paragraph ,Ans Types
Force: a push or a pull on an object is called force. Force may impart motion to an object.,"Definition, Property"
it is applied on an object in the same direction add to one another.,Property
Magnitude: the strength of a force is usually expressed by its magnitude,Definition
State of motion: The state of motion of an object is described by its speed and the direction of motion.,Property
Muscular Force: The force resulting due to the action of muscles is known as the muscular force,Definition
Contact Force: The force which is applied when it is in the contact with the object.,Definition
Non-contact force: The force exerted on an object without touching it known as non contact force.,Definition
Gravitational force: the attractive force of earth which acts upon all the objects is called force of gravity or gravitational force.,Definition
Pressure: The force acting on a unit area of a surface is called pressure. It acts perpendicular to the surface on which pressure is exerted.,"Definition, Property"
"Pressure= force/area on which it acts. Lesser the area, greater is the force.","Formula, Relation"
Both liquids and gases exert pressure on the wall of their containers.,Property
Atmospheric pressure: The pressure on the atmospheric air is known as atmospheric pressure. This weight of air column over a unit 1cm2,Definition
Paragraph ,Ans Types
"In our daily life, we apply force on many objects, due to which the objects change their position or shape. Eg : When a football is kicked, it moves. When we throw a smash a fully inflated balloon in between our palms, it breaks. When a cricket fielder catches the ball, it stops. A man cycling. In this chapter, we will study about force and its characteristics.",Example
"A push or a pull on an object is called a Force. Push refers to the force which tends to 'move the object away'  from the direction of the force applied. Pull refers to that force which tends to 'move the object towards'  the direction of the force applied. 
Examples of Push :
(i) Pushing a door open                 (ii) Man pushing his luggage trolley     (iii) Man hitting a golf ball
Examples of Pull:
(i)Opening the drawers                    (ii) Child pulling a wagon                            (iii) Crane pulling up an object ","Definition, Example"
"As we can see in all of the above cases, 2 or more objects must interact for force to come into play. Eg 1: In the case of man pulling his luggage trolley, there is an interaction between the man and his trolley. The man is applying a 'push' on his trolley to make it move forward. Eg 2: In the case of the crane pulling the object, there is an interaction between the crane and the object. The crane is applying force of the object to pull it up.",Example
"From the above figures, we can understand the following characteristics of Force

Force has both magnitude and direction.
Case (i) Magnitude of forces : F1,F2, Direction of forces: Left to Right (--->)
Case(ii) Magnitude of forces applied: F1,F2.
Direction of force F1 is Left to Right (--->). 
Direction of Force F2 is Right to Left (<---)
More than one force can be applied on an object.
Forces applied in the same direction add up to each other.
If forces are applied in the same direction, the total force adds up in the same direction. In case(i), forces are applied in the same direction. So the total force applied on the 'Heavy Object' is F1+F2 towards Right (--->)
If forces are applied in the opposite direction, then the net force acting on the object is the difference between the forces and the object tends to move in the direction of the greater force.
In case(ii),If F1=F2, the net force on the object is F = F1-F2=0. The object does not move in any direction.
If F1>F2, the net force on the object is F = F1-F2. The object moves in the direction of F1 ie towards Right (--->)
If F2>F1, the net force on the object is F = F2-F1. The object moves in the direction of F2 ie towards Left(<---)
If the magnitude or direction of the force changes, its effect also changes.","Property, Effects"
"A change in either speed of an object or direction of an object or both is described as a change in its state of motion. Force can change the state of motion of an object.

Let's consider the following sequence of events

A cricket ball is initially at rest.
The bowler picks it up and bowls it towards the batsman.
The batsman hits it with the bat. Subsequently, any of the following events could happen
The batsman hit the ball very hard such that it goes for flying in the air for a six.
The batsman hits the ball such that it goes for a four along the ground.
The batsman hits the ball and the bowler catches it.
The batsman hits a defense shot such that it rolls on the ground for a short distance and stops.
Now from (1) to (2), the ball has changed its speed. Initially, the speed for 0 m/s (at rest) and then the bowler flings it. So, now it moves with a certain speed. When the batsman hits the ball, according to the force applied on the ball, the direction or speed or both change. Any one of the events (a),(b),(c),(d) occurs. When the strike is very hard and upwards, it goes for a six(3a). When the strike is reasonably hard and along the ground, it goes for a four (3b). When the bowler catches it (3c), the bowler has applied has applied a force on it to stop it. When the force of the batsman is very weak, the ball rolls on the ground and eventually stops.","Example, Property"
"Force can change the shape of an object in some cases.

When making rotis from kneaded dough.
When force is applied on the lead of a pencil, it breaks.
When a elastic is pulled hard, it expands and loses its elasticity.

","Effects, Example"
"From the discussion above, we can summarize  that Force can have any or all of the following effects on the object on which it is applied.

Force can change the speed of an object (Batsman hitting a ball very hard)
Force can change the direction of motion of an object (Batsman hitting a ball very hard)
Force can change the shape of an object. (When an elastic is pulled hard, it breaks)
Force can move an object from rest to a state of motion (Bowler picking up a ball and then bowling it)","Effects, Example"
"Contact forces : Force that arises with the contact of 2 or more objects involved. Examples : Muscular force and Frictional Force

","Types, Definition"
"Muscular force is the type of force wherein we use our physical strength to change the state of motion of an object. Eg: Man pushing a car, Bullocks pulling a cart of load, Cycling, Weight Lifting","Definition, Example"
"Frictional Force is a force that acts on all moving objects by the surface which it is in contact with. Eg: A ball rolling on the ground encounters friction by the ground surface and it eventually comes to a halt. When the rowing of the boat has stopped, the boat comes to a stop because of the frictional force exerted by water on it. The Frictional force is always in the direction opposite to the applied force.","Definition, Example, Property"
"Non-contact forces: Forces that arise without the contact of 2 or more objects involved. Examples: Magnetic Force, Electrostatic Force, Gravitational force.

","Definition, Example, Types"
"Magnetic Force is a force that attracts certain metal objects (like iron and iron filings) towards a magnet.

",Definition
Electrostatic force is the force exerted by a charged body on another charged or uncharged body. Eg: Take a comb and brush it on a hair 3-4 times and then take it near some small bits of paper. Donot touch the comb with the paper. The bits of paper would get attracted to the comb. This is because the comb is charged because of the rubbing on your hair and it attracts uncharged objects like paper.,"Definition, Example, Causes"
"Gravitational force is a force exerted by the earth on all objects on it. When a ball is thrown up, it falls to the ground because of gravitational force. The water from a tap always flows downwards because of gravitational force.

","Definition, Causes"
"Force acting on unit area is called Pressure ie Pressure =   Force/Area

This explains why it is easier to hammer a nail into the wall. It is because we apply a greater amount of force into a very small area of the screw head. Going by the above equation, the force is large and the area is small. So, the pressure is very high.  There are instances when you also can feel pressure - when you are having a body massage. When a person massages your body with his hands, the force applied is very high on a relatively small area of his hand. The pressure is high and there is bearable but curative pain and pressure that you feel.","Definition, Formula, Causes"
"Liquids also exert pressure in all directions on the walls of the container they are stored in. We see water coming out from leaking pipes and taps. In case of a bath shower and fountain, water comes out tiny holes.",Property
"Gases (Air) also exert pressure in all directions. When you make a hole on a fully inflated balloon, then does the balloon not break, thereby releasing all the air from inside.",Property
Atmosphere (which means the air all around us) also exerts pressure. This is known as Atmospheric  Pressure. The value of atmospheric pressure is very high.,"Definition, Property"
Paragraph ,Ans Types
A pull or push over an object is called force.,Definition
"Example – to open a drawer, one has to pull it; and to close the drawer one has to push it. Thus, in both the conditions a person applies force by pull or push.",Examples
"To kick a ball, one has to push it, i.e. a force is applied.",Causes
"To ride a bicycle one has to push the pedal. In this condition, force is applied while pushing the pedal.",Causes
Forces are due an interaction:,Causes
To apply a force over an object interaction between object and source of force is necessary.,Property
"Direction and Magnitude of Force:
The measure of amount or strength of force is called the magnitude of force. Thus, strength or amount of force is expressed in terms of magnitude.",Definition
"Condition when more than two forces are applied over an object:
Forces applied in same direction:
When more than one force is applied in the same direction, the total force is the magnitude of both the forces.
Example – It is difficult to push a car by single person, but two or more persons can collectively push the same car easily. This is because when more than one person tries to push the car, magnitudes of forces applied by each of the person are summed up and applied over than car, and car is pushed easily because of greater magnitude of force.
That means if three units of force are applied over an object by each of the two persons,
The total unit of force = sum of both forces = 3 unit + 3 unit = 6 unit
Forces applied in opposite direction:
When two forces are applied over an object from opposite directions, the total effective force is the difference of two forces.
(a) When two persons are pushing a box in opposite directions and the magnitude of both the forces is equal, then box will not move, because the difference of two forces will be equal to zero.
Let a person applying 4 unit of force in one direction and other person is also applying 4 unit of force in opposite direction on the same wooden box.
Therefore, the magnitude of total force = 4 unit – 4 unit = 0
(b) If one person is applying a force of 4 unit in one direction and another person is applying a force of 6 unit in opposite direction,
Then total magnitude of force = 6 unit – 4 unit = 2 unit
Thus, force will act in the direction of larger magnitude of force.
","Property, Effects"
"Force can change the state of motion:
State of rest:
An object is called in the state of rest when it is not moving. This means a stationary object is called in the state of rest. For example – a building, an electric pole, a ball kept over the ground and not moving, etc.
State of motion:
A moving object is called in the state of motion. For example – a moving car, a moving ball, etc.
A force can speed up a moving object. Force can decrease the speed of a moving object. Force can stop a moving object. Force can change the direction of a moving object. Force can move a stationary object.
Example –
In the game of cricket, when a batsman pushes a fast moving ball in the same direction of the movement of ball, the speed of the ball is increased.
When a batsman pushes a fast moving ball in the opposite direction the speed of ball decreases; because of force being applied from his bat.
When a player in the game of football kicks the ball to his mate, he changes the direction of the moving football by applying force through his kick.
A goalkeeper stops the football going towards the goal post by applying a force by his hand.
","Definition, Example, Effects"
"Force can change the shape of an object:
When you apply force on an inflated balloon; using your hand from both sides, the force of pressure changes the shape of balloon.
You mom change the shape of dough into a bread by applying force with a rolling pin.
A blacksmith changes the shape of an iron rod by applying force using a hammer.
When a rubber band is stretched in opposite directions, its shape is changed.
","Effects, Causes, Reasoning"
Paragraph ,Ans Types
Force – A push or a pull upon  an object resulting from its interaction with another object  is called  force.,Definition
"Resultant force - A single force that is applied to the body and would have the same effect as all the separate forces acting upon it is called Resultant force or Net force.
 The sum of  two or more forces acting  on an object in the same direction is the Net force.",Definition
"Balanced force –When two equal forces act on an object in the opposite directions, the resultant force becomes zero and the object does not move then such forces are called Balanced forces.",Definition
"Unbalanced forces - When two unequal forces act in opposite directions on an object, the resultant force is found to be the difference between the two forces. It moves the body in the direction of the larger force. Such forces are called Unbalanced forces.","Definition, Property"
"Contact forces   --Forces which act only when objects are in physical contact with each other and bring about the changes are called contact forces.
( Some  Important contact forces are :—Muscular force & frictional force)","Definition, Examples"
 Muscular force – The force resulting due to the action of muscles is known as muscular force.,Definition
"Frictional force (force of friction) – The force acting along the two surfaces in contact which opposes the motion of one body over the other is called the force of friction
The force responsible for changing the state of motion of objects is called force of friction",Definition
"Non-Contact forces –  Forces which can act even when objects are not in physical contact with each other and bring about changes are called  Non-Contact forces.
( Some important Non-Contact  forces are: --- Magnetic force , Electrostatic force , Gravitational force)","Definition, Examples"
Electrostatic force – The force exerted by a charged body on another charged or uncharged body is known as electrostatic force.,Definition
Gravitational force (force of gravity) –The force  exerted by the earth on any object on & around its surface  is called force of gravity.,Definition
"Pressure – The force acting on a unit area of a surface is called pressure.
Pressure = Force / Area.  ( lesser the area, greater is the pressure.)","Definition, Formula, Relation"
Atmospheric pressure- The pressure exerted by the air due to its own weight  is known as atmospheric pressure.,Definition
"Distinguish between Force & Pressure.
Sr.No
Parameters
Force
Pressure

1
Definition
A push or pull that tends to affect an object in some way is called Force.
The force acting perpendicular  on a unit area of a surface is called pressure.

2
Formula
Force = Mass x Acceleration

Pressure = Force/Area
3
Units
Unit of Force in S.I. system is newton(N)
Unit of Pressure  in S.I. system is pascal (P) or 1N/m2

4
Physical quantity
Force is vector quantity.
Pressure is scalar quantity.
","Definition, Formula, Relation"
Paragraph ,Ans Types
"Friction is a force that opposes motion between any surfaces that are touching. Friction can work for or against us. For example, putting sand on an icy sidewalk increases friction so you are less likely to slip. On the other hand, too much friction between moving parts in a car engine can cause the parts to wear out. Other examples of friction are illustrated in the two","Definition, Examples, Reasoning"
"Did you ever rub your hands together to warm them up, Why does this make your hands warmer? The answer is friction.","Reasoning, Causes"
"Why Friction Occurs
Friction occurs because no surface is perfectly smooth. Even surfaces that look smooth to the unaided eye make look rough or bumpy when viewed under a microscope. Look at the metal surfaces in the Figure below. The aluminum foil is so smooth that it's shiny. However, when highly magnified, the surface of metal appears to be very bumpy. All those mountains and valleys catch and grab the mountains and valleys of any other surface that contacts the metal. This creates friction.
","Causes, Reasoning"
"Factors that Affect Friction
Rougher surfaces have more friction between them than smoother surfaces. That's why we put sand on icy sidewalks and roads. Increasing the area of surfaces that are touching also increases the friction between them. That's why you can't slide as far across ice with shoes as you can on the thin blades of skates. The greater surface area of the soles of the shoes cause more friction and slow you down.","Causes, Reasoning"
"Heavier objects also have more friction. Can you explain why?Heavier objects press together with greater force, and this causes greater friction between them.","Causes, Reasoning"
"Friction Produces Heat
You know that friction produces heat. That's why rubbing your hands together makes them warmer. But do you know why? Friction causes the molecules on rubbing surfaces to move faster, so they have more energy. This gives them a higher temperature, and they feel warmer. Heat from friction can be useful. It not only warms your hands. It also lets you light a match as shown in the Figure below. On the other hand, heat from friction between moving parts inside a car engine can be a big problem. It can cause the car to overheat.","Effects, Property, Reasoning"
"How is friction reduced between the moving parts inside a car engine?
To reduce friction, oil is added to the engine. The oil coats the surfaces of the moving parts and makes them slippery. They slide over each other more easily, so there is less friction.","Causes, Reasoning, Effects"
"Friction is always parallel to the surface in contact.
In some cases, friction is desirable while in other cases, friction reduces the effectiveness of machines. Without friction, you would not be able to walk, the wheels on a vehicle would have no grip on a road surfacing and the vehicle would not be able to move forward.On the other hand, friction is undesirable in most of the cases. Friction causes mechanical parts to seize and wear out.","Causes, Reasoning, Effects"
"Types of Friction
Friction is the force that opposes motion between any surfaces that are in contact. There are four types of friction: static, sliding, rolling, and fluid friction (Air/Viscous friction). Static, sliding, and rolling friction occur between solid surfaces. Fluid friction occurs in liquids and gases.","Types, Property"
"Static Friction
Static friction acts on objects when they are resting on a surface. For example, if you are hiking in the woods, there is static friction between your shoes and the trail each time you put down your foot (see Figure below). Without this static friction, your feet would slip out from under you, making it difficult to walk. In fact, that's exactly what happens if you try to walk on ice. That's because ice is very slippery and offers very little friction.","Reasoning, Causes, Property"
"Can you think of other examples of static friction?
One example is the friction that helps the girls climb the rock wall in the picture above. Static friction keeps their hands and feet from slipping.","Example, Reasoning"
"Sliding Friction
Sliding friction is friction that acts on objects when they are sliding over a surface. Sliding friction is weaker than static friction. That's why it's easier to slide a piece of furniture over the floor after you start it moving than it is to get it moving in the first place. Sliding friction can be useful. For example, you use sliding friction when you write with a pencil. The pencil ""lead"" slides easily over the paper, but there's just enough friction between the pencil and paper to leave a mark.","Defintion, Property, Example, Reasoning"
"How does sliding friction help you ride a bike?
There is sliding friction between the brake pads and bike rims each time you use your bike's brakes. This friction slows the rolling wheels so you can stop.","Reasoning, Example"
"Rolling Friction
Rolling friction is friction that acts on objects when they are rolling over a surface. Rolling friction is much weaker than sliding friction or static friction. This explains why most forms of ground transportation use wheels, including bicycles, cars, 4-wheelers, roller skates, scooters, and skateboards. Ball bearings are another use of rolling friction. You can see what they look like in the Figure below. They let parts of a wheel or other machine roll rather than slide over on another.","Definition, Property, Examples, Reasoning"
The ball bearings in this wheel reduce friction between the inner and outer cylinders when they turn.,Property
It is found that:Rolling friction < sliding friction < static friction.,"Relation, Property"
"Fluid Friction
Fluid friction is friction that acts on objects that are moving through a fluid. A fluid is a substance that can flow and take the shape of its container. Fluids include liquids and gases. If you've ever tried to push your open hand through the water in a tub or pool, then you've experienced fluid friction. You can feel the resistance of the water against your hand. Look at the skydiver in the Figure below. He's falling toward Earth with a parachute. Resistance of the air against the parachute slows his descent. The faster or larger a moving object is, the greater is the fluid friction resisting its motion. That's why there is greater air resistance against the parachute than the skydiver's body.","Definition, Property, Examples, Reasoning, Causes"
"Advantages of Friction
•   Friction between pen and paper enables us to write on the paper
.•   Friction between our feet and the ground allows our movements like standing, walking and running.
•   Friction between the surface of the road and tyres of our vehicles allow the vehicles to move without slipping.","Examples, Reasoning, Property"
"Disadvantages of Friction
•   Friction causes moving objects to stop or slow down
•   Friction produces heat causing wastage of energy in machines
•   Friction causes wear and tear of moving parts of machinery, soles of shoes, etc.","Property, Reasoning"
"Methods of Increasing and Reducing Friction
In real life, there are circumstances where we have to increase the friction and minimize the friction. Friction can be increased by increasing the roughness of the surfaces in contact. For example, treading of shoes and tires is done to increase friction. When friction is undesirable we have to reduce the friction. Friction can be minimized by using lubricants like oil and grease and by using ball bearing between machine parts. A substance that is introduced between two surfaces in contact, to reduce friction, is called a lubricant. Fluid friction can be minimized by giving suitable shapes to the objects moving in the fluids.","Effects, Property, Reasoning, Definition"
"Friction Is A Necessary Evil 
There are instances in daily life where friction is a necessity. For example, without friction, we cannot hold objects in our hands; we cannot walk and cannot light a match stick. Sometimes friction is not desirable, for example friction between machinery parts, which causes wear and tear. As friction is advantageous to us it is considered as a friend but due to its disadvantages it is a foe. Depending on the circumstance, friction can be a help or a hindrance. Thus it is a necessary evil.","Reasoning, Property"
Paragraph ,Ans Types
"Friction: When one surface is moving over another surface, a force comes into play and opposes their relative motion. This force is called friction or force of friction. Friction always opposes motion because it acts in opposite direction to motion. Force of friction arises due to contact between two surfaces. If there is no contact between two surfaces there would be no friction.","Definition, Property"
"Factors Affecting Friction:
Irregularities on surfaces: Friction is created because of irregularities on surfaces. The irregularities on surfaces result in interlocking of two surfaces. The interlocking between two surfaces creates friction. Hence, the force of friction will be greater in case of rough surface than in case of smooth surface.

Pressure Between two Surfaces: The force of friction increases with increase in pressure between two surfaces. You must have seen that moving a heavy box is difficult compared to moving a light box. Pressure is higher in case of a heavy box.",Causes
"Types of Friction:
Static Friction: The minimum amount of force that is required to overcome the force of friction is called static friction. In other words, the minimum force that is required to make an object moving is called static friction.
Sliding Friction: Once an object starts moving on a surface, some force is required to keep the object moving. The minimum force that is required to keep a moving object in motion at a constant speed is called sliding friction. Sliding friction is always less than static friction. Due to this, it is easier to push a moving box compared to pushing a static box.
Rolling Friction: When an object rolls over a surface, the friction created is called rolling friction. Rolling friction is less than sliding friction.
","Types, Definition, Property"
"Friction: A Necessary Evil
Friction is all pervasive. Even a simple task; like writing on a page; cannot be done without friction. Walking on road won’t be possible because friction. But friction causes wear and tear of materials, and wastage of energy. Thus, friction is beneficial as well as harmful. Hence, friction is called a necessary evil.

",Reasoning
